"","var","coef","se","model"
"(Intercept)","(Intercept)",-8.81934492487738,1.04869387704358,"imp1.csv"
"gdppc.gap.ln_l","gdppc.gap.ln_l",0.208803795390203,0.127499388907955,"imp1.csv"
"growth.gap.5_l","growth.gap.5_l",0.483796736971853,1.38038345234664,"imp1.csv"
"pop_ln_l","pop_ln_l",0.264152094138533,0.0415755300686265,"imp1.csv"
"polity2_l","polity2_l",-0.0106917014561445,0.0126537462812168,"imp1.csv"
"I(polity2_l^2)","I(polity2_l^2)",-0.0106053549979134,0.00218722378833721,"imp1.csv"
"Polity5_durable_ln_l","Polity5_durable_ln_l",-0.133708352304296,0.0567858617123057,"imp1.csv"
"BESS_plus_WB_Urbanization_l","BESS_plus_WB_Urbanization_l",-0.00518510322968134,0.00469912221154188,"imp1.csv"
"VDEM_v2x_execorr_l","VDEM_v2x_execorr_l",0.967638469884427,0.280049737567924,"imp1.csv"
"Mean_year_schooling_interpolated_l","Mean_year_schooling_interpolated_l",0.0829300972707291,0.0319642774992241,"imp1.csv"
"oil.pc.ln_l","oil.pc.ln_l",-0.0217360613184243,0.0152435841109527,"imp1.csv"
"sum.nvc.nonviol","sum.nvc.nonviol",0.372312376836359,0.141201664283499,"imp1.csv"
"sum.nvc.nonviol_l","sum.nvc.nonviol_l",0.678268051667407,0.14012344257116,"imp1.csv"
"cumsum.nvc.nonviol","cumsum.nvc.nonviol",0.173798432978134,0.0442920929705506,"imp1.csv"
"year1951","year1951",1.01555255255932,0.69001729847932,"imp1.csv"
"year1952","year1952",0.977801191240458,0.691553552572406,"imp1.csv"
"year1953","year1953",-0.11651032985937,0.0465255601582509,"imp1.csv"
"year1954","year1954",-0.180278219333457,0.0950643342597141,"imp1.csv"
"year1955","year1955",-0.113500100696858,0.0797003581197884,"imp1.csv"
"year1956","year1956",2.00614550394725,0.420916912748176,"imp1.csv"
"year1957","year1957",0.405474511890424,0.70827714863603,"imp1.csv"
"year1958","year1958",0.515698422147596,0.706609970074283,"imp1.csv"
"year1959","year1959",-0.466860379746859,0.0920915814590469,"imp1.csv"
"year1960","year1960",1.71695062686929,0.489307005238746,"imp1.csv"
"year1961","year1961",0.306883184472524,0.701337109120691,"imp1.csv"
"year1962","year1962",0.299388836744633,0.689152391647233,"imp1.csv"
"year1963","year1963",0.343493823659628,0.684552772071968,"imp1.csv"
"year1964","year1964",0.828474246801592,0.587277196879818,"imp1.csv"
"year1965","year1965",0.66351477797399,0.598334141140138,"imp1.csv"
"year1966","year1966",-0.801673092244855,0.137011269462999,"imp1.csv"
"year1967","year1967",-0.640357861345116,0.133480283537589,"imp1.csv"
"year1968","year1968",0.963092945682583,0.601515478731976,"imp1.csv"
"year1969","year1969",-0.755376587734565,0.121439702775144,"imp1.csv"
"year1970","year1970",0.902242250000217,0.599419573690873,"imp1.csv"
"year1971","year1971",-0.90840377133513,0.121899539575701,"imp1.csv"
"year1972","year1972",0.192909053267325,0.686899058195864,"imp1.csv"
"year1973","year1973",0.948132834375607,0.540236089479225,"imp1.csv"
"year1974","year1974",-0.901824267144353,0.133440713219664,"imp1.csv"
"year1975","year1975",0.233011478263062,0.707241115705464,"imp1.csv"
"year1976","year1976",0.754614583341391,0.601431194647246,"imp1.csv"
"year1977","year1977",1.66392213975903,0.436920307399794,"imp1.csv"
"year1978","year1978",-0.154620721702965,0.686888630789255,"imp1.csv"
"year1979","year1979",0.852630539125769,0.551303685348621,"imp1.csv"
"year1980","year1980",0.550377050852396,0.562742194088972,"imp1.csv"
"year1981","year1981",0.0391451736976179,0.693897149953446,"imp1.csv"
"year1982","year1982",0.495827689792935,0.576279810757315,"imp1.csv"
"year1983","year1983",0.928696558243309,0.51276133966642,"imp1.csv"
"year1984","year1984",0.51232682565737,0.542105874621205,"imp1.csv"
"year1985","year1985",0.521827386360565,0.5189532437255,"imp1.csv"
"year1986","year1986",0.670747999831255,0.532190091601835,"imp1.csv"
"year1987","year1987",1.48215121589944,0.414315511126283,"imp1.csv"
"year1988","year1988",-0.260090099891679,0.683400971143722,"imp1.csv"
"year1989","year1989",1.49802356481719,0.412265708089716,"imp1.csv"
"year1990","year1990",1.61924647276738,0.360551762767098,"imp1.csv"
"year1991","year1991",0.503125055696493,0.459831199294314,"imp1.csv"
"year1992","year1992",0.580828819698825,0.482323082411867,"imp1.csv"
"year1993","year1993",-0.286418524420372,0.605107228537963,"imp1.csv"
"year1994","year1994",-0.622181859822104,0.690202815233126,"imp1.csv"
"year1995","year1995",-0.347308471981983,0.686627401494228,"imp1.csv"
"year1996","year1996",-1.45161292938754,0.155338361834191,"imp1.csv"
"year1997","year1997",0.392232051029227,0.565165963183572,"imp1.csv"
"year1998","year1998",-0.191861828160558,0.579907764178339,"imp1.csv"
"year1999","year1999",0.944322984049418,0.449840195637162,"imp1.csv"
"year2000","year2000",0.943448094512924,0.389572204091376,"imp1.csv"
"year2001","year2001",0.160309545613871,0.554829246100371,"imp1.csv"
"year2002","year2002",-0.0772464939753099,0.586196632324397,"imp1.csv"
"year2003","year2003",0.227421857513293,0.465627321140533,"imp1.csv"
"year2004","year2004",0.0573914135498005,0.502006603654308,"imp1.csv"
"year2005","year2005",0.858156982670274,0.400498918164234,"imp1.csv"
"year2006","year2006",0.275291855026182,0.512700596245621,"imp1.csv"
"year2007","year2007",0.86605991190939,0.390858527632621,"imp1.csv"
"year2008","year2008",0.0140879335466738,0.523667004945238,"imp1.csv"
"year2009","year2009",0.737080316168549,0.447227311960865,"imp1.csv"
"year2010","year2010",0.264868522343927,0.498272329117397,"imp1.csv"
"year2011","year2011",0.908780059173935,0.396983324020939,"imp1.csv"
"year2012","year2012",0.476882314852642,0.472909001833289,"imp1.csv"
"year2013","year2013",0.516496666818085,0.424857456581323,"imp1.csv"
"year2014","year2014",0.768100297010035,0.451450654807224,"imp1.csv"
"year2015","year2015",0.797140960481643,0.400858614504446,"imp1.csv"
"year2016","year2016",0.096851113034142,0.508042753119488,"imp1.csv"
"year2017","year2017",0.872332124378705,0.414412891678293,"imp1.csv"
"year2018","year2018",-0.0187166715874594,0.507698140484922,"imp1.csv"
"year2019","year2019",0.95562117922176,0.372542000545325,"imp1.csv"
"(Intercept)1","(Intercept)",-8.89184868705539,1.03547302729505,"imp10.csv"
"gdppc.gap.ln_l1","gdppc.gap.ln_l",0.230259422984103,0.125819484197932,"imp10.csv"
"growth.gap.5_l1","growth.gap.5_l",0.517264444028039,1.41362744135289,"imp10.csv"
"pop_ln_l1","pop_ln_l",0.262170812298483,0.0420231894518598,"imp10.csv"
"polity2_l1","polity2_l",-0.0124575920179661,0.0128338188122193,"imp10.csv"
"I(polity2_l^2)1","I(polity2_l^2)",-0.0128366890579991,0.0022579485641681,"imp10.csv"
"Polity5_durable_ln_l1","Polity5_durable_ln_l",-0.0985729659589059,0.0547067838310547,"imp10.csv"
"BESS_plus_WB_Urbanization_l1","BESS_plus_WB_Urbanization_l",-0.00594607544210905,0.00476501862062927,"imp10.csv"
"VDEM_v2x_execorr_l1","VDEM_v2x_execorr_l",0.851557773557235,0.282730817587467,"imp10.csv"
"Mean_year_schooling_interpolated_l1","Mean_year_schooling_interpolated_l",0.0756673486937706,0.0331513168509973,"imp10.csv"
"oil.pc.ln_l1","oil.pc.ln_l",-0.0182207289714396,0.0153317399405109,"imp10.csv"
"sum.nvc.nonviol1","sum.nvc.nonviol",0.364879043266363,0.140998847057757,"imp10.csv"
"sum.nvc.nonviol_l1","sum.nvc.nonviol_l",0.701508301440821,0.141697158157629,"imp10.csv"
"cumsum.nvc.nonviol1","cumsum.nvc.nonviol",0.178143461154009,0.0447852656144596,"imp10.csv"
"year19511","year1951",1.05046487996256,0.693108277781974,"imp10.csv"
"year19521","year1952",1.0052865676045,0.6916598594914,"imp10.csv"
"year19531","year1953",-0.082863302147814,0.0638693929362814,"imp10.csv"
"year19541","year1954",-0.131851999141818,0.0932998232241191,"imp10.csv"
"year19551","year1955",-0.136777540422001,0.0918738027080768,"imp10.csv"
"year19561","year1956",2.0559822966197,0.423017038580416,"imp10.csv"
"year19571","year1957",0.471931693029351,0.707187402730532,"imp10.csv"
"year19581","year1958",0.521255855084549,0.709428789776931,"imp10.csv"
"year19591","year1959",-0.424704278114252,0.102126837612512,"imp10.csv"
"year19601","year1960",1.74793550676125,0.489277536317309,"imp10.csv"
"year19611","year1961",0.367254099362509,0.699043479447961,"imp10.csv"
"year19621","year1962",0.327622529838804,0.690012749292752,"imp10.csv"
"year19631","year1963",0.3399838764767,0.689246574799989,"imp10.csv"
"year19641","year1964",0.777048916935531,0.593396714674538,"imp10.csv"
"year19651","year1965",0.712994353717749,0.59572429574589,"imp10.csv"
"year19661","year1966",-0.761634218964541,0.136645210085973,"imp10.csv"
"year19671","year1967",-0.566748505058657,0.112219984686864,"imp10.csv"
"year19681","year1968",0.98241722590889,0.611788267094157,"imp10.csv"
"year19691","year1969",-0.742204375489299,0.121389877157479,"imp10.csv"
"year19701","year1970",0.911767869112524,0.606044002126129,"imp10.csv"
"year19711","year1971",-0.839622617050366,0.128711899486169,"imp10.csv"
"year19721","year1972",0.270696631834599,0.686833452192462,"imp10.csv"
"year19731","year1973",0.991584108755564,0.545038169996565,"imp10.csv"
"year19741","year1974",-0.898071456138635,0.160193929030796,"imp10.csv"
"year19751","year1975",0.25883680614185,0.72621500636376,"imp10.csv"
"year19761","year1976",0.809914360289782,0.597922246281939,"imp10.csv"
"year19771","year1977",1.71613104426577,0.450571643631931,"imp10.csv"
"year19781","year1978",-0.118030447212597,0.689871793044022,"imp10.csv"
"year19791","year1979",0.912671185569361,0.558935507311927,"imp10.csv"
"year19801","year1980",0.595461046506596,0.563272631900842,"imp10.csv"
"year19811","year1981",0.0491572362455908,0.695811644254325,"imp10.csv"
"year19821","year1982",0.537574529891975,0.585039581523695,"imp10.csv"
"year19831","year1983",0.993200363852565,0.524359111736427,"imp10.csv"
"year19841","year1984",0.565030591764249,0.543400393498519,"imp10.csv"
"year19851","year1985",0.575126487825752,0.523105234004074,"imp10.csv"
"year19861","year1986",0.712231262364367,0.555829448840623,"imp10.csv"
"year19871","year1987",1.52597482297544,0.414003808581393,"imp10.csv"
"year19881","year1988",-0.281178307330982,0.694652954511222,"imp10.csv"
"year19891","year1989",1.56378085677727,0.410018318197658,"imp10.csv"
"year19901","year1990",1.63678141658397,0.368034380393678,"imp10.csv"
"year19911","year1991",0.597773645148586,0.447004739081043,"imp10.csv"
"year19921","year1992",0.634826905767763,0.485944056048961,"imp10.csv"
"year19931","year1993",-0.222385257907224,0.607156232213627,"imp10.csv"
"year19941","year1994",-0.561141982587228,0.688953251301257,"imp10.csv"
