"","var","coef","se","model"
"(Intercept)","(Intercept)",-7.37788334994868,1.42628423694369,"imp1.csv"
"gdppc.gap.ln_l","gdppc.gap.ln_l",0.112509754380129,0.16364859214448,"imp1.csv"
"growth.gap.5_l","growth.gap.5_l",0.172933152591276,1.4153816062993,"imp1.csv"
"pop_ln_l","pop_ln_l",0.272799233016733,0.0473089028732137,"imp1.csv"
"polity2_l","polity2_l",-0.010480833677749,0.0141311698938447,"imp1.csv"
"I(polity2_l^2)","I(polity2_l^2)",-0.0109040170761661,0.00256539377785813,"imp1.csv"
"Polity5_durable_ln_l","Polity5_durable_ln_l",-0.0998416279441358,0.0664066198694836,"imp1.csv"
"BESS_plus_WB_Urbanization_l","BESS_plus_WB_Urbanization_l",-0.00737637427250052,0.00533695910379249,"imp1.csv"
"VDEM_v2x_execorr_l","VDEM_v2x_execorr_l",0.978544252565086,0.300204426841491,"imp1.csv"
"Mean_year_schooling_interpolated_l","Mean_year_schooling_interpolated_l",0.0971995648409548,0.0353083810658254,"imp1.csv"
"oil.pc.ln_l","oil.pc.ln_l",-0.0300615766106317,0.0167619266927022,"imp1.csv"
"sum.nvc.nonviol","sum.nvc.nonviol",0.723519171555551,0.142995434663653,"imp1.csv"
"sum.nvc.nonviol_l","sum.nvc.nonviol_l",0.551973314527701,0.139659179549022,"imp1.csv"
"cumsum.nvc.nonviol","cumsum.nvc.nonviol",0.135030023822713,0.0504157168898529,"imp1.csv"
"regionAustralia and New Zealand","regionAustralia and New Zealand",-0.465339991921696,0.830325612201537,"imp1.csv"
"regionCentral Asia","regionCentral Asia",-0.806255777883765,0.639837466067278,"imp1.csv"
"regionEastern Asia","regionEastern Asia",-0.0270494519644092,0.473412477012619,"imp1.csv"
"regionEastern Europe","regionEastern Europe",0.152726847188391,0.422155864694428,"imp1.csv"
"regionLatin America and the Caribbean","regionLatin America and the Caribbean",-0.128009933186681,0.416322085862613,"imp1.csv"
"regionMelanesia","regionMelanesia",0.40606892354976,0.462110239649493,"imp1.csv"
"regionMicronesia","regionMicronesia",0.0420315417920645,1.09562707599272,"imp1.csv"
"regionNorthern Africa","regionNorthern Africa",0.153264272006243,0.401924477991163,"imp1.csv"
"regionNorthern America","regionNorthern America",-0.207042519450885,0.519763924215532,"imp1.csv"
"regionNorthern Europe","regionNorthern Europe",-0.583493013180929,0.844070755606443,"imp1.csv"
"regionPolynesia","regionPolynesia",-0.889115864191661,1.08206755736842,"imp1.csv"
"regionSouth-eastern Asia","regionSouth-eastern Asia",-0.638741286495458,0.495691816905878,"imp1.csv"
"regionSouthern Asia","regionSouthern Asia",-0.148425271763429,0.442123646365075,"imp1.csv"
"regionSouthern Europe","regionSouthern Europe",0.246171539431458,0.411238221526381,"imp1.csv"
"regionSub-Saharan Africa","regionSub-Saharan Africa",-0.845906524811473,0.439105103045974,"imp1.csv"
