"","var","coef","se","model"
"(Intercept)","(Intercept)",-27.1164892938801,4.22306318242997,"imp1.csv"
"gdppc.gap.ln_l","gdppc.gap.ln_l",4.47168171109075,0.958595047997512,"imp1.csv"
"I(gdppc.gap.ln_l^2)","I(gdppc.gap.ln_l^2)",-0.24485357972203,0.0550035797874092,"imp1.csv"
"growth.gap.5_l","growth.gap.5_l",-0.664501961141691,1.44330690376525,"imp1.csv"
"pop_ln_l","pop_ln_l",0.278536919919662,0.0417259372889868,"imp1.csv"
"polity2_l","polity2_l",-0.0148304164722258,0.0125111139095071,"imp1.csv"
"I(polity2_l^2)","I(polity2_l^2)",-0.0095052442787258,0.00217528573404623,"imp1.csv"
"Polity5_durable_ln_l","Polity5_durable_ln_l",-0.1282544144938,0.054980117475669,"imp1.csv"
"BESS_plus_WB_Urbanization_l","BESS_plus_WB_Urbanization_l",-0.0045980699646415,0.00478698407528658,"imp1.csv"
"VDEM_v2x_execorr_l","VDEM_v2x_execorr_l",0.692805573745449,0.268335254287088,"imp1.csv"
"Mean_year_schooling_interpolated_l","Mean_year_schooling_interpolated_l",0.0741500551156186,0.0303765807855739,"imp1.csv"
"oil.pc.ln_l","oil.pc.ln_l",-0.0272392507997638,0.0154563306044741,"imp1.csv"
"sum.nvc.nonviol","sum.nvc.nonviol",0.342522874798876,0.139105190833532,"imp1.csv"
"sum.nvc.nonviol_l","sum.nvc.nonviol_l",0.660786648594835,0.141287058991815,"imp1.csv"
"cumsum.nvc.nonviol","cumsum.nvc.nonviol",0.143171288860674,0.0444184376870152,"imp1.csv"
"year1951","year1951",1.01573879964084,0.687504958164793,"imp1.csv"
"year1952","year1952",0.96992805735076,0.688300996031402,"imp1.csv"
"year1953","year1953",-0.122811571793792,0.0416434386001205,"imp1.csv"
"year1954","year1954",-0.173423463873031,0.0730690255633365,"imp1.csv"
"year1955","year1955",-0.135721399000831,0.0625749928050906,"imp1.csv"
"year1956","year1956",2.00009429042116,0.413840069944473,"imp1.csv"
"year1957","year1957",0.379613211606836,0.710452561455852,"imp1.csv"
"year1958","year1958",0.503227167962839,0.705341924597238,"imp1.csv"
"year1959","year1959",-0.493614517118767,0.0884611904375359,"imp1.csv"
"year1960","year1960",1.73107773246373,0.476666544369185,"imp1.csv"
"year1961","year1961",0.30595090592579,0.699158639362207,"imp1.csv"
"year1962","year1962",0.290332406999278,0.689303407122571,"imp1.csv"
"year1963","year1963",0.349030910009461,0.684080887325977,"imp1.csv"
"year1964","year1964",0.85196354724131,0.587159874490049,"imp1.csv"
"year1965","year1965",0.658427413944103,0.599818045398288,"imp1.csv"
