"","var","coef","se","model"
"(Intercept)","(Intercept)",-21.2518071473477,4.80370596929876,"imp1.csv"
"gdppc.gap.ln_l","gdppc.gap.ln_l",3.36945721115186,1.07285340060787,"imp1.csv"
"I(gdppc.gap.ln_l^2)","I(gdppc.gap.ln_l^2)",-0.186166664328298,0.060345449516011,"imp1.csv"
"growth.gap.5_l","growth.gap.5_l",-0.749002484039323,1.44809069094776,"imp1.csv"
"pop_ln_l","pop_ln_l",0.268273661606725,0.0459388273192349,"imp1.csv"
"polity2_l","polity2_l",-0.0111358905358812,0.0137217093140627,"imp1.csv"
"I(polity2_l^2)","I(polity2_l^2)",-0.0102998054688232,0.00253234447607581,"imp1.csv"
"Polity5_durable_ln_l","Polity5_durable_ln_l",-0.0975064630306663,0.064497383627933,"imp1.csv"
"BESS_plus_WB_Urbanization_l","BESS_plus_WB_Urbanization_l",-0.00636061633514833,0.00523609046424544,"imp1.csv"
"VDEM_v2x_execorr_l","VDEM_v2x_execorr_l",0.884412730305599,0.293542124453127,"imp1.csv"
"Mean_year_schooling_interpolated_l","Mean_year_schooling_interpolated_l",0.0877086041941985,0.0347315540824551,"imp1.csv"
"oil.pc.ln_l","oil.pc.ln_l",-0.0313905060776685,0.0164729827069092,"imp1.csv"
"sum.nvc.nonviol","sum.nvc.nonviol",0.742540936274043,0.142295553658552,"imp1.csv"
"sum.nvc.nonviol_l","sum.nvc.nonviol_l",0.564592759616316,0.141337405061685,"imp1.csv"
"cumsum.nvc.nonviol","cumsum.nvc.nonviol",0.1286433000847,0.0534077594588436,"imp1.csv"
"regionAustralia and New Zealand","regionAustralia and New Zealand",-0.401389006897972,0.830124697069935,"imp1.csv"
"regionCentral Asia","regionCentral Asia",-0.856249468677069,0.633101212716441,"imp1.csv"
"regionEastern Asia","regionEastern Asia",0.00473224086417393,0.475261534438836,"imp1.csv"
"regionEastern Europe","regionEastern Europe",0.0751811322560722,0.412941475928144,"imp1.csv"
"regionLatin America and the Caribbean","regionLatin America and the Caribbean",-0.339360998285585,0.415118022142008,"imp1.csv"
"regionMelanesia","regionMelanesia",0.23226251603939,0.457505255103079,"imp1.csv"
"regionMicronesia","regionMicronesia",-0.148627706860311,1.0937067771694,"imp1.csv"
"regionNorthern Africa","regionNorthern Africa",-0.0345760567533169,0.407123317501683,"imp1.csv"
"regionNorthern America","regionNorthern America",0.0283275031961041,0.551470036451996,"imp1.csv"
"regionNorthern Europe","regionNorthern Europe",-0.49582938367325,0.836808708796059,"imp1.csv"
"regionPolynesia","regionPolynesia",-1.12258508500262,1.08074439518001,"imp1.csv"
"regionSouth-eastern Asia","regionSouth-eastern Asia",-0.656212482966991,0.486781374739869,"imp1.csv"
"regionSouthern Asia","regionSouthern Asia",-0.211819940953921,0.440770139652039,"imp1.csv"
"regionSouthern Europe","regionSouthern Europe",0.169663876746122,0.408518214680462,"imp1.csv"
"regionSub-Saharan Africa","regionSub-Saharan Africa",-0.829806918713552,0.433898258035105,"imp1.csv"
"regionWestern Asia","regionWestern Asia",-0.190255375237774,0.42842285427345,"imp1.csv"
"regionWestern Europe","regionWestern Europe",-0.746545105911572,0.61445851065984,"imp1.csv"
"(Intercept)1","(Intercept)",-21.5190062247893,4.86379548110352,"imp10.csv"
"gdppc.gap.ln_l1","gdppc.gap.ln_l",3.44285774564514,1.08414171757679,"imp10.csv"
"I(gdppc.gap.ln_l^2)1","I(gdppc.gap.ln_l^2)",-0.188799096723072,0.0607786664330433,"imp10.csv"
"growth.gap.5_l1","growth.gap.5_l",-0.934942639563497,1.46197818337366,"imp10.csv"
"pop_ln_l1","pop_ln_l",0.271571624898522,0.0454417622777932,"imp10.csv"
"polity2_l1","polity2_l",-0.0130046316047637,0.0139810735488087,"imp10.csv"
"I(polity2_l^2)1","I(polity2_l^2)",-0.0126795841861371,0.00242194340521093,"imp10.csv"
"Polity5_durable_ln_l1","Polity5_durable_ln_l",-0.0622948437209024,0.0625562811196503,"imp10.csv"
"BESS_plus_WB_Urbanization_l1","BESS_plus_WB_Urbanization_l",-0.00763343865802524,0.00541806989281782,"imp10.csv"
"VDEM_v2x_execorr_l1","VDEM_v2x_execorr_l",0.778839933942405,0.305349382039022,"imp10.csv"
"Mean_year_schooling_interpolated_l1","Mean_year_schooling_interpolated_l",0.0807476098426476,0.035113448612031,"imp10.csv"
"oil.pc.ln_l1","oil.pc.ln_l",-0.0285322881680981,0.016204640924627,"imp10.csv"
"sum.nvc.nonviol1","sum.nvc.nonviol",0.748199443840378,0.141188104064978,"imp10.csv"
"sum.nvc.nonviol_l1","sum.nvc.nonviol_l",0.597000379512036,0.142441307136946,"imp10.csv"
"cumsum.nvc.nonviol1","cumsum.nvc.nonviol",0.130470717524693,0.0534441614752278,"imp10.csv"
"regionAustralia and New Zealand1","regionAustralia and New Zealand",-0.368208316638582,0.833337206348102,"imp10.csv"
"regionCentral Asia1","regionCentral Asia",-0.827453587243306,0.63390135143402,"imp10.csv"
"regionEastern Asia1","regionEastern Asia",-0.00924203130912768,0.484737712640514,"imp10.csv"
"regionEastern Europe1","regionEastern Europe",0.0390161902349733,0.41763659419064,"imp10.csv"
"regionLatin America and the Caribbean1","regionLatin America and the Caribbean",-0.372000490412862,0.419872812833969,"imp10.csv"
"regionMelanesia1","regionMelanesia",0.171634298086171,0.446193328859209,"imp10.csv"
"regionMicronesia1","regionMicronesia",-0.247965826992179,1.09505868087724,"imp10.csv"
"regionNorthern Africa1","regionNorthern Africa",-0.107908415000819,0.403719889241608,"imp10.csv"
"regionNorthern America1","regionNorthern America",0.00807499574316715,0.547843699880027,"imp10.csv"
"regionNorthern Europe1","regionNorthern Europe",-0.461763039490656,0.813265815787392,"imp10.csv"
"regionPolynesia1","regionPolynesia",-1.12561722736962,1.0819899285733,"imp10.csv"
"regionSouth-eastern Asia1","regionSouth-eastern Asia",-0.709677307137395,0.48892349424393,"imp10.csv"
"regionSouthern Asia1","regionSouthern Asia",-0.2663896122815,0.434381704717706,"imp10.csv"
"regionSouthern Europe1","regionSouthern Europe",0.192898711895028,0.409916697683687,"imp10.csv"
"regionSub-Saharan Africa1","regionSub-Saharan Africa",-0.889778746878371,0.43400486124324,"imp10.csv"
"regionWestern Asia1","regionWestern Asia",-0.208942382061639,0.43183739054063,"imp10.csv"
"regionWestern Europe1","regionWestern Europe",-0.712327930482393,0.607439428202952,"imp10.csv"
"(Intercept)2","(Intercept)",-20.8244435241478,4.81848289463742,"imp11.csv"
"gdppc.gap.ln_l2","gdppc.gap.ln_l",3.33973419901644,1.07160398635543,"imp11.csv"
"I(gdppc.gap.ln_l^2)2","I(gdppc.gap.ln_l^2)",-0.185840541315354,0.0598977498851479,"imp11.csv"
"growth.gap.5_l2","growth.gap.5_l",-0.615480173240847,1.44916819415399,"imp11.csv"
"pop_ln_l2","pop_ln_l",0.247560082431344,0.0461176651367269,"imp11.csv"
"polity2_l2","polity2_l",-0.0094232717806516,0.0143538590009232,"imp11.csv"
