"","var","coef","se","model"
"(Intercept)","(Intercept)",-8.8395780498732,1.27930102605954,"imp1.csv"
"gdppc.gap.ln_l","gdppc.gap.ln_l",0.187075517470554,0.158928332272833,"imp1.csv"
"growth.gap.5_l","growth.gap.5_l",0.270873848892414,1.16453852351293,"imp1.csv"
"pop_ln_l","pop_ln_l",0.222866886085099,0.0468963058980229,"imp1.csv"
"polity2_l","polity2_l",-0.000990298101113306,0.0119831418767284,"imp1.csv"
"I(polity2_l^2)","I(polity2_l^2)",-0.00642444984391981,0.00304050356113044,"imp1.csv"
"Polity5_durable_ln_l","Polity5_durable_ln_l",-0.128854106735376,0.0805102842889141,"imp1.csv"
"BESS_plus_WB_Urbanization_l","BESS_plus_WB_Urbanization_l",0.00132623052943058,0.00556059976719805,"imp1.csv"
"VDEM_v2x_execorr_l","VDEM_v2x_execorr_l",1.68998300481793,0.377795428002062,"imp1.csv"
"Mean_year_schooling_interpolated_l","Mean_year_schooling_interpolated_l",0.0552835739869984,0.0402970371438057,"imp1.csv"
"oil.pc.ln_l","oil.pc.ln_l",-0.0528551178309022,0.0170189614900047,"imp1.csv"
"sum.rev.q.nonviol","sum.rev.q.nonviol",0.573840286332407,0.169581586832471,"imp1.csv"
"sum.rev.q.nonviol_l","sum.rev.q.nonviol_l",0.222645946336198,0.162047553535119,"imp1.csv"
"cumsum.unarmed.rev.q","cumsum.unarmed.rev.q",0.298129378277151,0.0551458975260084,"imp1.csv"
"year1951","year1951",-0.0582389993619547,0.0371751728608803,"imp1.csv"
"year1952","year1952",1.03689036189965,0.67886202778221,"imp1.csv"
"year1953","year1953",-0.106255579917436,0.0447228069286698,"imp1.csv"
"year1954","year1954",-0.190558643767613,0.100887363301895,"imp1.csv"
"year1955","year1955",-0.123295085042757,0.0841577615633134,"imp1.csv"
"year1956","year1956",-0.263439932156748,0.0906547445522456,"imp1.csv"
"year1957","year1957",-0.228667612905694,0.095012653612432,"imp1.csv"
"year1958","year1958",-0.203957403957114,0.0794570142096307,"imp1.csv"
"year1959","year1959",-0.219358182193818,0.0816142336815764,"imp1.csv"
"year1960","year1960",0.673182933670272,0.68007120296436,"imp1.csv"
"year1961","year1961",-0.410305697154395,0.104541985679952,"imp1.csv"
"year1962","year1962",-0.474876431432337,0.103633658449908,"imp1.csv"
"year1963","year1963",0.593233199826974,0.691319126745722,"imp1.csv"
"year1964","year1964",0.537305942393835,0.669891759411673,"imp1.csv"
"year1965","year1965",-0.604011986177683,0.118630095619634,"imp1.csv"
"year1966","year1966",-0.591716325679398,0.120452339765789,"imp1.csv"
"year1967","year1967",-0.617651006943799,0.122653500153894,"imp1.csv"
"year1968","year1968",0.469470116659793,0.683401458147483,"imp1.csv"
"year1969","year1969",-0.651749769827992,0.117896767295953,"imp1.csv"
"year1970","year1970",-0.679528322527413,0.114028658958889,"imp1.csv"
"year1971","year1971",-0.780441924678524,0.111070814482709,"imp1.csv"
"year1972","year1972",-0.805406659684813,0.117738628769091,"imp1.csv"
"year1973","year1973",0.775874915568704,0.60818016988327,"imp1.csv"
"year1974","year1974",-0.820021866168491,0.12039022539314,"imp1.csv"
"year1975","year1975",-0.845405928909265,0.113918222406045,"imp1.csv"
"year1976","year1976",-0.776291986574583,0.103640792214862,"imp1.csv"
"year1977","year1977",-0.757622967303424,0.110509710249469,"imp1.csv"
"year1978","year1978",-0.812579041581224,0.111372361586874,"imp1.csv"
"year1979","year1979",-0.868075274894962,0.111024017786215,"imp1.csv"
"year1980","year1980",0.100305954192358,0.676214681403969,"imp1.csv"
"year1981","year1981",-0.947458730697253,0.120013353842864,"imp1.csv"
"year1982","year1982",-0.0252505331027105,0.689202733745438,"imp1.csv"
"year1983","year1983",-1.02480856633671,0.131777494432261,"imp1.csv"
"year1984","year1984",-0.970284764750326,0.133762023304276,"imp1.csv"
"year1985","year1985",-0.991245783155608,0.142074724647704,"imp1.csv"
"year1986","year1986",0.0275682696838035,0.691052818995177,"imp1.csv"
"year1987","year1987",0.443177069729296,0.576812079857469,"imp1.csv"
"year1988","year1988",-0.0478360883845165,0.703295980833329,"imp1.csv"
"year1989","year1989",0.928121442478283,0.502291654710684,"imp1.csv"
"year1990","year1990",0.343748211277276,0.589635302782202,"imp1.csv"
"year1991","year1991",0.412682156367897,0.555465622221136,"imp1.csv"
"year1992","year1992",-0.364209931506778,0.681675291520812,"imp1.csv"
"year1993","year1993",-1.37865397449099,0.15519240733919,"imp1.csv"
"year1994","year1994",-1.40296132974678,0.169166485222494,"imp1.csv"
"year1995","year1995",-1.35295377967236,0.166712833245961,"imp1.csv"
"year1996","year1996",-1.39547888232215,0.174902704720075,"imp1.csv"
"year1997","year1997",-1.39139752920453,0.175414132102456,"imp1.csv"
"year1998","year1998",-0.365008049540576,0.705656634402626,"imp1.csv"
"year1999","year1999",-1.4468235728642,0.179203404483903,"imp1.csv"
"year2000","year2000",0.676421867828616,0.464328503929818,"imp1.csv"
"year2001","year2001",0.482557364736622,0.534910338122253,"imp1.csv"
"year2002","year2002",-0.498744312588882,0.726885141700875,"imp1.csv"
"year2003","year2003",0.259622021133533,0.543443413067672,"imp1.csv"
"year2004","year2004",0.68878606163077,0.448197656349075,"imp1.csv"
"year2005","year2005",0.455309229726811,0.465196216390049,"imp1.csv"
"year2006","year2006",0.778008090610847,0.46622180691053,"imp1.csv"
"year2007","year2007",0.606439837553872,0.469161626765212,"imp1.csv"
"year2008","year2008",0.608122802487769,0.477075997641897,"imp1.csv"
"year2009","year2009",0.813224458637801,0.449476539156922,"imp1.csv"
"year2010","year2010",-0.0169607564627746,0.565625038706134,"imp1.csv"
"year2011","year2011",1.23087615016048,0.407468965098361,"imp1.csv"
"year2012","year2012",-0.42883729896417,0.622274232828769,"imp1.csv"
"year2013","year2013",0.890154670132975,0.444243279767548,"imp1.csv"
"year2014","year2014",0.264773152788684,0.523153696031543,"imp1.csv"
"year2015","year2015",0.549672885884668,0.422516309944821,"imp1.csv"
"year2016","year2016",-0.0750564777383494,0.593189553688377,"imp1.csv"
"year2017","year2017",-0.113835786634305,0.560496553867071,"imp1.csv"
"year2018","year2018",0.0961025509994867,0.554253193991969,"imp1.csv"
"year2019","year2019",0.715547540822082,0.434198292787082,"imp1.csv"
"(Intercept)1","(Intercept)",-8.16054823150083,1.24031661071974,"imp10.csv"
"gdppc.gap.ln_l1","gdppc.gap.ln_l",0.17141007491601,0.152174232708836,"imp10.csv"
"growth.gap.5_l1","growth.gap.5_l",0.792003439401231,1.17371164347601,"imp10.csv"
"pop_ln_l1","pop_ln_l",0.194669155434397,0.0461065317485274,"imp10.csv"
"polity2_l1","polity2_l",-0.010894300914706,0.0121251099793309,"imp10.csv"
"I(polity2_l^2)1","I(polity2_l^2)",-0.00901409924818723,0.00287881705003847,"imp10.csv"
"Polity5_durable_ln_l1","Polity5_durable_ln_l",-0.150593121918003,0.0667149478209726,"imp10.csv"
"BESS_plus_WB_Urbanization_l1","BESS_plus_WB_Urbanization_l",0.0014824671151397,0.00533319409337523,"imp10.csv"
"VDEM_v2x_execorr_l1","VDEM_v2x_execorr_l",1.26522738733772,0.374414135565753,"imp10.csv"
"Mean_year_schooling_interpolated_l1","Mean_year_schooling_interpolated_l",0.0445159940109197,0.0392031259092617,"imp10.csv"
"oil.pc.ln_l1","oil.pc.ln_l",-0.0366421803361589,0.016468093669048,"imp10.csv"
"sum.rev.q.nonviol1","sum.rev.q.nonviol",0.555741242886245,0.169962615799026,"imp10.csv"
