"","var","coef","se","model"
"(Intercept)","(Intercept)",-7.39010793342657,1.85551177862926,"imp1.csv"
"gdppc.gap.ln_l","gdppc.gap.ln_l",-0.0120181450337927,0.195186531883588,"imp1.csv"
"growth.gap.5_l","growth.gap.5_l",0.517068068160634,1.33790792137203,"imp1.csv"
"pop_ln_l","pop_ln_l",0.175171341752238,0.0616671673242888,"imp1.csv"
"polity2_l","polity2_l",0.0230211893692333,0.015800140072513,"imp1.csv"
"I(polity2_l^2)","I(polity2_l^2)",-0.00839366028643974,0.00382325113088733,"imp1.csv"
"Polity5_durable_ln_l","Polity5_durable_ln_l",-0.0306641931728649,0.101699537677408,"imp1.csv"
"BESS_plus_WB_Urbanization_l","BESS_plus_WB_Urbanization_l",0.000582105667167598,0.00631888636452111,"imp1.csv"
"VDEM_v2x_execorr_l","VDEM_v2x_execorr_l",1.99806386515915,0.422358349896847,"imp1.csv"
"Mean_year_schooling_interpolated_l","Mean_year_schooling_interpolated_l",0.10564308167502,0.0433458904745706,"imp1.csv"
"oil.pc.ln_l","oil.pc.ln_l",-0.0569374481142407,0.0193394859412047,"imp1.csv"
"sum.rev.q.nonviol","sum.rev.q.nonviol",1.28812213423947,0.1838312696349,"imp1.csv"
"sum.rev.q.nonviol_l","sum.rev.q.nonviol_l",0.483966388963374,0.167134729148234,"imp1.csv"
"cumsum.unarmed.rev.q","cumsum.unarmed.rev.q",0.316119280887745,0.0784125547630562,"imp1.csv"
"regionAustralia and New Zealand","regionAustralia and New Zealand",0.162953698430199,1.26781323056841,"imp1.csv"
"regionCentral Asia","regionCentral Asia",-0.444712560279975,1.25254651263179,"imp1.csv"
"regionEastern Asia","regionEastern Asia",0.163598267435882,1.06008166967408,"imp1.csv"
"regionEastern Europe","regionEastern Europe",0.263864625230456,1.04096339428404,"imp1.csv"
"regionLatin America and the Caribbean","regionLatin America and the Caribbean",-0.464681930403604,1.06841440915696,"imp1.csv"
"regionMelanesia","regionMelanesia",-0.97632417983903,1.17733103233996,"imp1.csv"
"regionMicronesia","regionMicronesia",0.579924307986281,1.47124989009759,"imp1.csv"
"regionNorthern Africa","regionNorthern Africa",0.737703972117475,1.05538220583928,"imp1.csv"
"regionNorthern America","regionNorthern America",-0.194229405923246,1.27683782414319,"imp1.csv"
"regionNorthern Europe","regionNorthern Europe",-0.463483922865273,1.21011729383026,"imp1.csv"
"regionPolynesia","regionPolynesia",-0.189842631702319,1.45699451372605,"imp1.csv"
"regionSouth-eastern Asia","regionSouth-eastern Asia",-0.22217017115946,1.09127210140223,"imp1.csv"
"regionSouthern Asia","regionSouthern Asia",-0.0127078996153414,1.08287844108234,"imp1.csv"
"regionSouthern Europe","regionSouthern Europe",0.390464030474113,1.04328873675738,"imp1.csv"
"regionSub-Saharan Africa","regionSub-Saharan Africa",-0.906991273641619,1.07996993380505,"imp1.csv"
"regionWestern Asia","regionWestern Asia",0.070635902836936,1.04772829549862,"imp1.csv"
"regionWestern Europe","regionWestern Europe",-0.156723572038955,1.16778260708971,"imp1.csv"
"(Intercept)1","(Intercept)",-6.69739042972777,1.80917164167803,"imp10.csv"
"gdppc.gap.ln_l1","gdppc.gap.ln_l",-0.00642616227153701,0.186047435597459,"imp10.csv"
"growth.gap.5_l1","growth.gap.5_l",0.772030599325674,1.31128378472835,"imp10.csv"
"pop_ln_l1","pop_ln_l",0.1421348508058,0.0562908516628608,"imp10.csv"
"polity2_l1","polity2_l",0.0147054480896614,0.014775510138187,"imp10.csv"
"I(polity2_l^2)1","I(polity2_l^2)",-0.011722475094576,0.00353350143019156,"imp10.csv"
"Polity5_durable_ln_l1","Polity5_durable_ln_l",-0.0488173328275722,0.0866195531612366,"imp10.csv"
"BESS_plus_WB_Urbanization_l1","BESS_plus_WB_Urbanization_l",0.000316119655337815,0.00614183560282544,"imp10.csv"
