"","var","coef","se","model"
"(Intercept)","(Intercept)",-25.479974342545,4.54751672095676,"imp1.csv"
"gdppc.gap.ln_l","gdppc.gap.ln_l",4.07667779122839,1.02895288861112,"imp1.csv"
"I(gdppc.gap.ln_l^2)","I(gdppc.gap.ln_l^2)",-0.222550548987456,0.0579115230461979,"imp1.csv"
"growth.gap.5_l","growth.gap.5_l",-0.629343012964096,1.19422411474525,"imp1.csv"
"pop_ln_l","pop_ln_l",0.225560636233984,0.046575007394364,"imp1.csv"
"polity2_l","polity2_l",-0.00734843413589482,0.0116928537107635,"imp1.csv"
"I(polity2_l^2)","I(polity2_l^2)",-0.00555609741459749,0.0030151661564688,"imp1.csv"
"Polity5_durable_ln_l","Polity5_durable_ln_l",-0.127390468647149,0.0786962758580266,"imp1.csv"
"BESS_plus_WB_Urbanization_l","BESS_plus_WB_Urbanization_l",0.00255730546922653,0.00547878296347304,"imp1.csv"
"VDEM_v2x_execorr_l","VDEM_v2x_execorr_l",1.39570030625792,0.36955772827105,"imp1.csv"
"Mean_year_schooling_interpolated_l","Mean_year_schooling_interpolated_l",0.0440601612259818,0.0393668056050786,"imp1.csv"
"oil.pc.ln_l","oil.pc.ln_l",-0.0581216461931143,0.0171225673042396,"imp1.csv"
"sum.rev.q.nonviol","sum.rev.q.nonviol",0.5502562127639,0.170732065378975,"imp1.csv"
"sum.rev.q.nonviol_l","sum.rev.q.nonviol_l",0.198479439398479,0.160700424190861,"imp1.csv"
"cumsum.unarmed.rev.q","cumsum.unarmed.rev.q",0.26191674224202,0.0536468802601284,"imp1.csv"
"year1951","year1951",-0.0532749849516882,0.0336526237023366,"imp1.csv"
"year1952","year1952",1.0295833308505,0.674137312212281,"imp1.csv"
"year1953","year1953",-0.129696182800733,0.0468823201000676,"imp1.csv"
"year1954","year1954",-0.172356291342952,0.0787490072478799,"imp1.csv"
"year1955","year1955",-0.140003556813222,0.0674726982141109,"imp1.csv"
"year1956","year1956",-0.270719624283247,0.0764002069004894,"imp1.csv"
