"","var","coef","se","model"
"(Intercept)","(Intercept)",-17.2489063461968,5.49790958616928,"imp1.csv"
"gdppc.gap.ln_l","gdppc.gap.ln_l",2.30268867470568,1.21935029316379,"imp1.csv"
"I(gdppc.gap.ln_l^2)","I(gdppc.gap.ln_l^2)",-0.131607322594722,0.066994800427986,"imp1.csv"
"growth.gap.5_l","growth.gap.5_l",-0.0550594174242794,1.34420298442082,"imp1.csv"
"pop_ln_l","pop_ln_l",0.168696314482527,0.0600497041462657,"imp1.csv"
"polity2_l","polity2_l",0.0213193408866613,0.015481250034929,"imp1.csv"
"I(polity2_l^2)","I(polity2_l^2)",-0.00798102390074932,0.00375704427868854,"imp1.csv"
"Polity5_durable_ln_l","Polity5_durable_ln_l",-0.0297841598855743,0.0999328363054613,"imp1.csv"
"BESS_plus_WB_Urbanization_l","BESS_plus_WB_Urbanization_l",0.00145917808129497,0.00614069848979362,"imp1.csv"
"VDEM_v2x_execorr_l","VDEM_v2x_execorr_l",1.91887326625749,0.418298204474395,"imp1.csv"
"Mean_year_schooling_interpolated_l","Mean_year_schooling_interpolated_l",0.0968122413470995,0.0430778322962334,"imp1.csv"
"oil.pc.ln_l","oil.pc.ln_l",-0.0576937999829924,0.0191603394652659,"imp1.csv"
"sum.rev.q.nonviol","sum.rev.q.nonviol",1.30156842256052,0.183340540169112,"imp1.csv"
"sum.rev.q.nonviol_l","sum.rev.q.nonviol_l",0.49310867657556,0.166878779337482,"imp1.csv"
"cumsum.unarmed.rev.q","cumsum.unarmed.rev.q",0.301332154318632,0.0787298232547232,"imp1.csv"
"regionAustralia and New Zealand","regionAustralia and New Zealand",0.174769665284272,1.2677796312282,"imp1.csv"
"regionCentral Asia","regionCentral Asia",-0.471907252913208,1.23996646209425,"imp1.csv"
"regionEastern Asia","regionEastern Asia",0.171715241238512,1.0597883010545,"imp1.csv"
"regionEastern Europe","regionEastern Europe",0.207781943687321,1.0389673015319,"imp1.csv"
"regionLatin America and the Caribbean","regionLatin America and the Caribbean",-0.612686178511337,1.06629984790942,"imp1.csv"
"regionMelanesia","regionMelanesia",-1.10614579468763,1.17608847188858,"imp1.csv"
"regionMicronesia","regionMicronesia",0.439208207790658,1.4687726982522,"imp1.csv"
"regionNorthern Africa","regionNorthern Africa",0.597884588828041,1.05525384252719,"imp1.csv"
"regionNorthern America","regionNorthern America",-0.0401394075252098,1.27623911611775,"imp1.csv"
"regionNorthern Europe","regionNorthern Europe",-0.41263200029466,1.20241795198302,"imp1.csv"
"regionPolynesia","regionPolynesia",-0.361152172580959,1.45620759779539,"imp1.csv"
"regionSouth-eastern Asia","regionSouth-eastern Asia",-0.233823719492296,1.08853574372316,"imp1.csv"
"regionSouthern Asia","regionSouthern Asia",-0.0510665050052906,1.08204388466392,"imp1.csv"
"regionSouthern Europe","regionSouthern Europe",0.328269037202671,1.0431196915569,"imp1.csv"
"regionSub-Saharan Africa","regionSub-Saharan Africa",-0.882310074882699,1.07549796663844,"imp1.csv"
"regionWestern Asia","regionWestern Asia",-0.00752147049112396,1.04616959978726,"imp1.csv"
"regionWestern Europe","regionWestern Europe",-0.00109218489951231,1.16405020335244,"imp1.csv"
"(Intercept)1","(Intercept)",-17.1247638602167,5.43471908659661,"imp10.csv"
"gdppc.gap.ln_l1","gdppc.gap.ln_l",2.42547342914469,1.19163510825447,"imp10.csv"
"I(gdppc.gap.ln_l^2)1","I(gdppc.gap.ln_l^2)",-0.138065459185055,0.0651021947098605,"imp10.csv"
"growth.gap.5_l1","growth.gap.5_l",0.165791398415308,1.32584926750354,"imp10.csv"
"pop_ln_l1","pop_ln_l",0.136837887144059,0.0545453660702674,"imp10.csv"
"polity2_l1","polity2_l",0.0129366712576704,0.0144785583662759,"imp10.csv"
"I(polity2_l^2)1","I(polity2_l^2)",-0.011242544925886,0.00347678953301734,"imp10.csv"
"Polity5_durable_ln_l1","Polity5_durable_ln_l",-0.0471358973930821,0.0852729433351547,"imp10.csv"
"BESS_plus_WB_Urbanization_l1","BESS_plus_WB_Urbanization_l",0.00126467598909655,0.00596923396468903,"imp10.csv"
"VDEM_v2x_execorr_l1","VDEM_v2x_execorr_l",1.60909151180108,0.400662302434219,"imp10.csv"
"Mean_year_schooling_interpolated_l1","Mean_year_schooling_interpolated_l",0.0826255518714957,0.0408406302944595,"imp10.csv"
"oil.pc.ln_l1","oil.pc.ln_l",-0.0413402048183221,0.0173545500017371,"imp10.csv"
"sum.rev.q.nonviol1","sum.rev.q.nonviol",1.3370845046384,0.182848874266967,"imp10.csv"
"sum.rev.q.nonviol_l1","sum.rev.q.nonviol_l",0.541501340784408,0.167760478034744,"imp10.csv"
"cumsum.unarmed.rev.q1","cumsum.unarmed.rev.q",0.314144777783925,0.0737438206481102,"imp10.csv"
"regionAustralia and New Zealand1","regionAustralia and New Zealand",0.323378943490869,1.26786440601819,"imp10.csv"
"regionCentral Asia1","regionCentral Asia",-0.431376264077141,1.23446102243577,"imp10.csv"
"regionEastern Asia1","regionEastern Asia",0.340219854174786,1.05251492358721,"imp10.csv"
"regionEastern Europe1","regionEastern Europe",0.255901486850238,1.03994050055611,"imp10.csv"
"regionLatin America and the Caribbean1","regionLatin America and the Caribbean",-0.617027336512382,1.06194357922967,"imp10.csv"
"regionMelanesia1","regionMelanesia",-1.18399995854403,1.17086949133022,"imp10.csv"
"regionMicronesia1","regionMicronesia",0.288898866365966,1.4679471263166,"imp10.csv"
"regionNorthern Africa1","regionNorthern Africa",0.43987294422625,1.04859575687023,"imp10.csv"
"regionNorthern America1","regionNorthern America",0.106871566029584,1.27732373969188,"imp10.csv"
"regionNorthern Europe1","regionNorthern Europe",-0.307174513454279,1.20289917710487,"imp10.csv"
"regionPolynesia1","regionPolynesia",-0.385762744437955,1.45703246663898,"imp10.csv"
"regionSouth-eastern Asia1","regionSouth-eastern Asia",-0.251598573470363,1.08567270619827,"imp10.csv"
"regionSouthern Asia1","regionSouthern Asia",-0.0750916576210321,1.07615820627787,"imp10.csv"
"regionSouthern Europe1","regionSouthern Europe",0.380775544613533,1.0447215787979,"imp10.csv"
"regionSub-Saharan Africa1","regionSub-Saharan Africa",-0.919504394971927,1.07269130489155,"imp10.csv"
"regionWestern Asia1","regionWestern Asia",-0.0629566715483485,1.04367789888303,"imp10.csv"
"regionWestern Europe1","regionWestern Europe",0.136357445740768,1.15321625936396,"imp10.csv"
"(Intercept)2","(Intercept)",-16.7051110839887,5.43485389118506,"imp11.csv"
"gdppc.gap.ln_l2","gdppc.gap.ln_l",2.31911061997178,1.19068634671152,"imp11.csv"
"I(gdppc.gap.ln_l^2)2","I(gdppc.gap.ln_l^2)",-0.134127155878619,0.0651515262327966,"imp11.csv"
"growth.gap.5_l2","growth.gap.5_l",0.202064197829903,1.30477577327743,"imp11.csv"
"pop_ln_l2","pop_ln_l",0.136236933001278,0.0546760414266134,"imp11.csv"
"polity2_l2","polity2_l",0.0077532076723453,0.0145995864055368,"imp11.csv"
"I(polity2_l^2)2","I(polity2_l^2)",-0.0096006290275814,0.00369764296029107,"imp11.csv"
"Polity5_durable_ln_l2","Polity5_durable_ln_l",-0.0602850900384919,0.0906041342998489,"imp11.csv"
"BESS_plus_WB_Urbanization_l2","BESS_plus_WB_Urbanization_l",0.000816522727209775,0.00602784504191056,"imp11.csv"
"VDEM_v2x_execorr_l2","VDEM_v2x_execorr_l",1.61331482309857,0.413142765752923,"imp11.csv"
"Mean_year_schooling_interpolated_l2","Mean_year_schooling_interpolated_l",0.10751169787723,0.0406366841207721,"imp11.csv"
"oil.pc.ln_l2","oil.pc.ln_l",-0.0443202283659604,0.0160895480360583,"imp11.csv"
"sum.rev.q.nonviol2","sum.rev.q.nonviol",1.31640996482763,0.180134649252357,"imp11.csv"
"sum.rev.q.nonviol_l2","sum.rev.q.nonviol_l",0.519744391052747,0.167398685923142,"imp11.csv"
"cumsum.unarmed.rev.q2","cumsum.unarmed.rev.q",0.305499377848222,0.073878493245555,"imp11.csv"
"regionAustralia and New Zealand2","regionAustralia and New Zealand",0.320543981399696,1.26805200541182,"imp11.csv"
"regionCentral Asia2","regionCentral Asia",-0.526595753834608,1.24020925750831,"imp11.csv"
"regionEastern Asia2","regionEastern Asia",0.299689849025658,1.05500907276818,"imp11.csv"
"regionEastern Europe2","regionEastern Europe",0.261306426988512,1.03952862320489,"imp11.csv"
"regionLatin America and the Caribbean2","regionLatin America and the Caribbean",-0.523999715466905,1.06179196473976,"imp11.csv"
"regionMelanesia2","regionMelanesia",-1.11629367778452,1.16930332048393,"imp11.csv"
"regionMicronesia2","regionMicronesia",0.207897671163845,1.4666171858502,"imp11.csv"
"regionNorthern Africa2","regionNorthern Africa",0.534662239013165,1.04991338953352,"imp11.csv"
"regionNorthern America2","regionNorthern America",0.102423111906878,1.27882926628682,"imp11.csv"
"regionNorthern Europe2","regionNorthern Europe",-0.310066975381852,1.19907685165501,"imp11.csv"
"regionPolynesia2","regionPolynesia",-0.318699978068949,1.45764826964714,"imp11.csv"
"regionSouth-eastern Asia2","regionSouth-eastern Asia",-0.157009530044938,1.0851143920266,"imp11.csv"
"regionSouthern Asia2","regionSouthern Asia",0.0246370270261065,1.07653090210028,"imp11.csv"
"regionSouthern Europe2","regionSouthern Europe",0.378965067915814,1.04610089758549,"imp11.csv"
"regionSub-Saharan Africa2","regionSub-Saharan Africa",-0.829607059081931,1.07144061759202,"imp11.csv"
"regionWestern Asia2","regionWestern Asia",0.0115336878636502,1.04363034743082,"imp11.csv"
"regionWestern Europe2","regionWestern Europe",0.156200386370318,1.16228568394125,"imp11.csv"
"(Intercept)3","(Intercept)",-16.0922132234028,5.38853159747015,"imp12.csv"
"gdppc.gap.ln_l3","gdppc.gap.ln_l",2.32229246109379,1.16467615855342,"imp12.csv"
