"","Type","Diff.Un","V.Ratio.Un","Diff.Adj","M.Threshold","V.Ratio.Adj","V.Threshold","model"
"growth.gap.5_l","Contin.",0.0382412775400235,0.67769488800657,-0.0417800241891977,"Balanced, <0.2",1.03563539409491,"Balanced, <2","nearest"
"pop_ln_l","Contin.",0.575815247256723,0.908031125686071,0.125610966591773,"Balanced, <0.2",1.05335914217128,"Balanced, <2","nearest"
"polity2_l","Contin.",-0.0266405257009924,0.728476343210096,-0.116560384665245,"Balanced, <0.2",0.851315661064994,"Balanced, <2","nearest"
"Polity5_durable_ln_l","Contin.",-0.265768767123961,0.977922032469797,-0.212668726591573,"Not Balanced, >0.2",1.25351601803471,"Balanced, <2","nearest"
"BESS_plus_WB_Urbanization_l","Contin.",-0.0195644506349226,0.716974317276936,-0.0596148094727763,"Balanced, <0.2",0.856106746646185,"Balanced, <2","nearest"
"VDEM_v2x_execorr_l","Contin.",0.558780688479757,0.63105512958591,0.106201989718503,"Balanced, <0.2",0.927457786965537,"Balanced, <2","nearest"
"Mean_year_schooling_interpolated_l","Contin.",0.142152635239656,0.798072075476232,-0.000120168208915178,"Balanced, <0.2",0.873044756341977,"Balanced, <2","nearest"
"cumsum.nvc.nonviol","Contin.",0.546112136101125,2.46400252069003,0.106960124769731,"Balanced, <0.2",1.1949628453914,"Balanced, <2","nearest"
"year","Contin.",0.528360452995222,0.839695955094175,-2.20552465179935e-11,"Balanced, <0.2",1.00192088787705,"Balanced, <2","nearest"
"region_1","Binary",-0.00301233244222959,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_Australia and New Zealand","Binary",-0.0141001107865848,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_Central Asia","Binary",-0.00249051731863158,NA,-1.21430643318376e-16,"Balanced, <0.2",NA,"","nearest"
"region_Eastern Asia","Binary",0.0213785594254641,NA,-5.82867087928207e-16,"Balanced, <0.2",NA,"","nearest"
"region_Eastern Europe","Binary",0.0633029945685231,NA,-1.01307850997046e-15,"Balanced, <0.2",NA,"","nearest"
"region_Latin America and the Caribbean","Binary",0.0489637846029645,NA,-2.52575738102223e-15,"Balanced, <0.2",NA,"","nearest"
"region_Melanesia","Binary",-0.00177639191012091,NA,-1.59594559789866e-16,"Balanced, <0.2",NA,"","nearest"
"region_Micronesia","Binary",-0.00342431261959915,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_Northern Africa","Binary",0.0221933999110218,NA,-6.31439345255558e-16,"Balanced, <0.2",NA,"","nearest"
"region_Northern America","Binary",-0.010062387835522,NA,-4.0766001685455e-17,"Balanced, <0.2",NA,"","nearest"
"region_Northern Europe","Binary",-0.050037153554013,NA,-8.15320033709099e-17,"Balanced, <0.2",NA,"","nearest"
"region_Polynesia","Binary",-0.00584147446872797,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_South-eastern Asia","Binary",-0.00831414856504806,NA,-6.66133814775094e-16,"Balanced, <0.2",NA,"","nearest"
"region_Southern Asia","Binary",0.0670568120268077,NA,-1.09634523681734e-15,"Balanced, <0.2",NA,"","nearest"
"region_Southern Europe","Binary",-0.00694061696311529,NA,-4.9960036108132e-16,"Balanced, <0.2",NA,"","nearest"
"region_Sub-Saharan Africa","Binary",-0.079181876361537,NA,-1.69309011255336e-15,"Balanced, <0.2",NA,"","nearest"
"region_Western Asia","Binary",0.00306625862521541,NA,-9.85322934354826e-16,"Balanced, <0.2",NA,"","nearest"
"region_Western Europe","Binary",-0.0407804863348673,NA,-4.0766001685455e-17,"Balanced, <0.2",NA,"","nearest"
"growth.gap.5_l1","Contin.",0.0382412775400235,0.67769488800657,-0.0486061682061619,"Balanced, <0.2",1.02891154865692,"Balanced, <2","optimal"
"pop_ln_l1","Contin.",0.575815247256723,0.908031125686071,0.118156866523295,"Balanced, <0.2",1.06127895771541,"Balanced, <2","optimal"
"polity2_l1","Contin.",-0.0266405257009924,0.728476343210096,-0.117523693629421,"Balanced, <0.2",0.854804041776737,"Balanced, <2","optimal"
"Polity5_durable_ln_l1","Contin.",-0.265768767123961,0.977922032469797,-0.206021319805238,"Not Balanced, >0.2",1.24291119152223,"Balanced, <2","optimal"
"BESS_plus_WB_Urbanization_l1","Contin.",-0.0195644506349226,0.716974317276936,-0.0704446135982405,"Balanced, <0.2",0.845113052156632,"Balanced, <2","optimal"
"VDEM_v2x_execorr_l1","Contin.",0.558780688479757,0.63105512958591,0.121875913869054,"Balanced, <0.2",0.925235381944945,"Balanced, <2","optimal"
"Mean_year_schooling_interpolated_l1","Contin.",0.142152635239656,0.798072075476232,-0.00610945230598315,"Balanced, <0.2",0.875868385614364,"Balanced, <2","optimal"
"cumsum.nvc.nonviol1","Contin.",0.546112136101125,2.46400252069003,0.101017895615857,"Balanced, <0.2",1.18092064473655,"Balanced, <2","optimal"
"year1","Contin.",0.528360452995222,0.839695955094175,-2.11457518162206e-11,"Balanced, <0.2",1.00192088787705,"Balanced, <2","optimal"
"region_11","Binary",-0.00301233244222959,NA,0,"Balanced, <0.2",NA,"","optimal"
"region_Australia and New Zealand1","Binary",-0.0141001107865848,NA,0,"Balanced, <0.2",NA,"","optimal"
"region_Central Asia1","Binary",-0.00249051731863158,NA,-1.17961196366423e-16,"Balanced, <0.2",NA,"","optimal"
"region_Eastern Asia1","Binary",0.0213785594254641,NA,-5.759281940243e-16,"Balanced, <0.2",NA,"","optimal"
"region_Eastern Europe1","Binary",0.0633029945685231,NA,-9.85322934354826e-16,"Balanced, <0.2",NA,"","optimal"
"region_Latin America and the Caribbean1","Binary",0.0489637846029645,NA,-2.47024622979097e-15,"Balanced, <0.2",NA,"","optimal"
"region_Melanesia1","Binary",-0.00177639191012091,NA,-1.56125112837913e-16,"Balanced, <0.2",NA,"","optimal"
"region_Micronesia1","Binary",-0.00342431261959915,NA,0,"Balanced, <0.2",NA,"","optimal"
"region_Northern Africa1","Binary",0.0221933999110218,NA,-6.17561557447743e-16,"Balanced, <0.2",NA,"","optimal"
"region_Northern America1","Binary",-0.010062387835522,NA,-3.98986399474666e-17,"Balanced, <0.2",NA,"","optimal"
"region_Northern Europe1","Binary",-0.050037153554013,NA,-7.97972798949331e-17,"Balanced, <0.2",NA,"","optimal"
"region_Polynesia1","Binary",-0.00584147446872797,NA,0,"Balanced, <0.2",NA,"","optimal"
"region_South-eastern Asia1","Binary",-0.00831414856504806,NA,-6.52256026967279e-16,"Balanced, <0.2",NA,"","optimal"
"region_Southern Asia1","Binary",0.0670568120268077,NA,-1.06858966120171e-15,"Balanced, <0.2",NA,"","optimal"
"region_Southern Europe1","Binary",-0.00694061696311529,NA,-4.85722573273506e-16,"Balanced, <0.2",NA,"","optimal"
"region_Sub-Saharan Africa1","Binary",-0.079181876361537,NA,-1.63757896132211e-15,"Balanced, <0.2",NA,"","optimal"
"region_Western Asia1","Binary",0.00306625862521541,NA,-9.57567358739198e-16,"Balanced, <0.2",NA,"","optimal"
"region_Western Europe1","Binary",-0.0407804863348673,NA,-3.98986399474666e-17,"Balanced, <0.2",NA,"","optimal"
"growth.gap.5_l2","Contin.",0.0355038387654046,0.683605727586409,-0.011275375948164,"Balanced, <0.2",0.969657724375718,"Balanced, <2","nearest"
"pop_ln_l2","Contin.",0.583599960446092,0.892370809807475,0.114851798080921,"Balanced, <0.2",1.04704251257369,"Balanced, <2","nearest"
"polity2_l2","Contin.",-0.0457588289611016,0.71160336250238,-0.116565339409073,"Balanced, <0.2",0.822468810151155,"Balanced, <2","nearest"
"Polity5_durable_ln_l2","Contin.",-0.2504187635098,0.976071977005332,-0.182735568092144,"Balanced, <0.2",1.21483451133613,"Balanced, <2","nearest"
"BESS_plus_WB_Urbanization_l2","Contin.",-0.0240428916425628,0.726147035200306,-0.0476231692745716,"Balanced, <0.2",0.861124167189874,"Balanced, <2","nearest"
"VDEM_v2x_execorr_l2","Contin.",0.535759111825551,0.647186117723327,0.121420551413401,"Balanced, <0.2",0.948344725630055,"Balanced, <2","nearest"
"Mean_year_schooling_interpolated_l2","Contin.",0.131966642018925,0.810566158680526,-0.0134985168313805,"Balanced, <0.2",0.884538444751935,"Balanced, <2","nearest"
"cumsum.nvc.nonviol2","Contin.",0.546112136101125,2.46400252069003,0.102206341446631,"Balanced, <0.2",1.16566730620676,"Balanced, <2","nearest"
"year2","Contin.",0.528360452995222,0.839695955094175,-2.20552465179935e-11,"Balanced, <0.2",1.00192088787705,"Balanced, <2","nearest"
"region_12","Binary",-0.00301233244222959,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_Australia and New Zealand2","Binary",-0.0141001107865848,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_Central Asia2","Binary",-0.00249051731863158,NA,-1.21430643318376e-16,"Balanced, <0.2",NA,"","nearest"
"region_Eastern Asia2","Binary",0.0213785594254641,NA,-5.82867087928207e-16,"Balanced, <0.2",NA,"","nearest"
"region_Eastern Europe2","Binary",0.0633029945685231,NA,-1.01307850997046e-15,"Balanced, <0.2",NA,"","nearest"
"region_Latin America and the Caribbean2","Binary",0.0489637846029645,NA,-2.52575738102223e-15,"Balanced, <0.2",NA,"","nearest"
"region_Melanesia2","Binary",-0.00177639191012091,NA,-1.59594559789866e-16,"Balanced, <0.2",NA,"","nearest"
"region_Micronesia2","Binary",-0.00342431261959915,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_Northern Africa2","Binary",0.0221933999110218,NA,-6.31439345255558e-16,"Balanced, <0.2",NA,"","nearest"
"region_Northern America2","Binary",-0.010062387835522,NA,-4.0766001685455e-17,"Balanced, <0.2",NA,"","nearest"
"region_Northern Europe2","Binary",-0.050037153554013,NA,-8.15320033709099e-17,"Balanced, <0.2",NA,"","nearest"
"region_Polynesia2","Binary",-0.00584147446872797,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_South-eastern Asia2","Binary",-0.00831414856504806,NA,-6.66133814775094e-16,"Balanced, <0.2",NA,"","nearest"
"region_Southern Asia2","Binary",0.0670568120268077,NA,-1.09634523681734e-15,"Balanced, <0.2",NA,"","nearest"
"region_Southern Europe2","Binary",-0.00694061696311529,NA,-4.9960036108132e-16,"Balanced, <0.2",NA,"","nearest"
"region_Sub-Saharan Africa2","Binary",-0.079181876361537,NA,-1.69309011255336e-15,"Balanced, <0.2",NA,"","nearest"
"region_Western Asia2","Binary",0.00306625862521541,NA,-9.85322934354826e-16,"Balanced, <0.2",NA,"","nearest"
"region_Western Europe2","Binary",-0.0407804863348673,NA,-4.0766001685455e-17,"Balanced, <0.2",NA,"","nearest"
"growth.gap.5_l11","Contin.",0.0355038387654046,0.683605727586409,-0.0240847019459394,"Balanced, <0.2",0.983180540285605,"Balanced, <2","optimal"
"pop_ln_l11","Contin.",0.583599960446092,0.892370809807475,0.125477146699745,"Balanced, <0.2",1.04903292934856,"Balanced, <2","optimal"
"polity2_l11","Contin.",-0.0457588289611016,0.71160336250238,-0.113643088560378,"Balanced, <0.2",0.825498771961955,"Balanced, <2","optimal"
"Polity5_durable_ln_l11","Contin.",-0.2504187635098,0.976071977005332,-0.176702735649159,"Balanced, <0.2",1.20523698788117,"Balanced, <2","optimal"
"BESS_plus_WB_Urbanization_l11","Contin.",-0.0240428916425628,0.726147035200306,-0.058852091445761,"Balanced, <0.2",0.850580811936445,"Balanced, <2","optimal"
"VDEM_v2x_execorr_l11","Contin.",0.535759111825551,0.647186117723327,0.137297430658638,"Balanced, <0.2",0.937983909658624,"Balanced, <2","optimal"
"Mean_year_schooling_interpolated_l11","Contin.",0.131966642018925,0.810566158680526,-0.0139995991485912,"Balanced, <0.2",0.884338217046589,"Balanced, <2","optimal"
"cumsum.nvc.nonviol11","Contin.",0.546112136101125,2.46400252069003,0.0998294497850818,"Balanced, <0.2",1.15915681486018,"Balanced, <2","optimal"
"year11","Contin.",0.528360452995222,0.839695955094175,-2.11457518162206e-11,"Balanced, <0.2",1.00192088787705,"Balanced, <2","optimal"
"region_111","Binary",-0.00301233244222959,NA,0,"Balanced, <0.2",NA,"","optimal"
"region_Australia and New Zealand11","Binary",-0.0141001107865848,NA,0,"Balanced, <0.2",NA,"","optimal"
"region_Central Asia11","Binary",-0.00249051731863158,NA,-1.17961196366423e-16,"Balanced, <0.2",NA,"","optimal"
"region_Eastern Asia11","Binary",0.0213785594254641,NA,-5.759281940243e-16,"Balanced, <0.2",NA,"","optimal"
"region_Eastern Europe11","Binary",0.0633029945685231,NA,-9.85322934354826e-16,"Balanced, <0.2",NA,"","optimal"
"region_Latin America and the Caribbean11","Binary",0.0489637846029645,NA,-2.47024622979097e-15,"Balanced, <0.2",NA,"","optimal"
"region_Melanesia11","Binary",-0.00177639191012091,NA,-1.56125112837913e-16,"Balanced, <0.2",NA,"","optimal"
"region_Micronesia11","Binary",-0.00342431261959915,NA,0,"Balanced, <0.2",NA,"","optimal"
"region_Northern Africa11","Binary",0.0221933999110218,NA,-6.17561557447743e-16,"Balanced, <0.2",NA,"","optimal"
"region_Northern America11","Binary",-0.010062387835522,NA,-3.98986399474666e-17,"Balanced, <0.2",NA,"","optimal"
"region_Northern Europe11","Binary",-0.050037153554013,NA,-7.97972798949331e-17,"Balanced, <0.2",NA,"","optimal"
"region_Polynesia11","Binary",-0.00584147446872797,NA,0,"Balanced, <0.2",NA,"","optimal"
"region_South-eastern Asia11","Binary",-0.00831414856504806,NA,-6.52256026967279e-16,"Balanced, <0.2",NA,"","optimal"
"region_Southern Asia11","Binary",0.0670568120268077,NA,-1.06858966120171e-15,"Balanced, <0.2",NA,"","optimal"
"region_Southern Europe11","Binary",-0.00694061696311529,NA,-4.85722573273506e-16,"Balanced, <0.2",NA,"","optimal"
"region_Sub-Saharan Africa11","Binary",-0.079181876361537,NA,-1.63757896132211e-15,"Balanced, <0.2",NA,"","optimal"
"region_Western Asia11","Binary",0.00306625862521541,NA,-9.57567358739198e-16,"Balanced, <0.2",NA,"","optimal"
"region_Western Europe11","Binary",-0.0407804863348673,NA,-3.98986399474666e-17,"Balanced, <0.2",NA,"","optimal"
"growth.gap.5_l3","Contin.",0.0451239936408254,0.684669171246494,-0.0231704963710746,"Balanced, <0.2",0.991299075073001,"Balanced, <2","nearest"
"pop_ln_l3","Contin.",0.58368265418956,0.869622792406901,0.127991250964509,"Balanced, <0.2",0.997181625145334,"Balanced, <2","nearest"
"polity2_l3","Contin.",-0.0369038713503924,0.723460345558085,-0.084110278657723,"Balanced, <0.2",0.832467125141944,"Balanced, <2","nearest"
"Polity5_durable_ln_l3","Contin.",-0.260531642449403,0.968722797399765,-0.188646203513886,"Balanced, <0.2",1.21831208945489,"Balanced, <2","nearest"
"BESS_plus_WB_Urbanization_l3","Contin.",-0.0132623579700834,0.719324545027193,-0.0560565939326493,"Balanced, <0.2",0.835853651418357,"Balanced, <2","nearest"
"VDEM_v2x_execorr_l3","Contin.",0.556339416234419,0.651556010116048,0.135054735122432,"Balanced, <0.2",0.972367028685855,"Balanced, <2","nearest"
"Mean_year_schooling_interpolated_l3","Contin.",0.134410058447946,0.808563884224238,-0.00818603253041308,"Balanced, <0.2",0.878257081188888,"Balanced, <2","nearest"
"cumsum.nvc.nonviol3","Contin.",0.546112136101125,2.46400252069003,0.102206341446631,"Balanced, <0.2",1.1504318008431,"Balanced, <2","nearest"
"year3","Contin.",0.528360452995222,0.839695955094175,-2.18278728425503e-11,"Balanced, <0.2",1.00192088787705,"Balanced, <2","nearest"
"region_13","Binary",-0.00301233244222959,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_Australia and New Zealand3","Binary",-0.0141001107865848,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_Central Asia3","Binary",-0.00249051731863158,NA,-1.21430643318376e-16,"Balanced, <0.2",NA,"","nearest"
"region_Eastern Asia3","Binary",0.0213785594254641,NA,-5.82867087928207e-16,"Balanced, <0.2",NA,"","nearest"
"region_Eastern Europe3","Binary",0.0633029945685231,NA,-1.01307850997046e-15,"Balanced, <0.2",NA,"","nearest"
"region_Latin America and the Caribbean3","Binary",0.0489637846029645,NA,-2.52575738102223e-15,"Balanced, <0.2",NA,"","nearest"
"region_Melanesia3","Binary",-0.00177639191012091,NA,-1.59594559789866e-16,"Balanced, <0.2",NA,"","nearest"
"region_Micronesia3","Binary",-0.00342431261959915,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_Northern Africa3","Binary",0.0221933999110218,NA,-6.31439345255558e-16,"Balanced, <0.2",NA,"","nearest"
"region_Northern America3","Binary",-0.010062387835522,NA,-4.0766001685455e-17,"Balanced, <0.2",NA,"","nearest"
"region_Northern Europe3","Binary",-0.050037153554013,NA,-8.15320033709099e-17,"Balanced, <0.2",NA,"","nearest"
"region_Polynesia3","Binary",-0.00584147446872797,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_South-eastern Asia3","Binary",-0.00831414856504806,NA,-6.66133814775094e-16,"Balanced, <0.2",NA,"","nearest"
"region_Southern Asia3","Binary",0.0670568120268077,NA,-1.09634523681734e-15,"Balanced, <0.2",NA,"","nearest"
"region_Southern Europe3","Binary",-0.00694061696311529,NA,-4.9960036108132e-16,"Balanced, <0.2",NA,"","nearest"
"region_Sub-Saharan Africa3","Binary",-0.079181876361537,NA,-1.69309011255336e-15,"Balanced, <0.2",NA,"","nearest"
"region_Western Asia3","Binary",0.00306625862521541,NA,-9.85322934354826e-16,"Balanced, <0.2",NA,"","nearest"
"region_Western Europe3","Binary",-0.0407804863348673,NA,-4.0766001685455e-17,"Balanced, <0.2",NA,"","nearest"
"growth.gap.5_l12","Contin.",0.0451239936408254,0.684669171246494,-0.0413300101215466,"Balanced, <0.2",0.99187648078234,"Balanced, <2","optimal"
"pop_ln_l12","Contin.",0.58368265418956,0.869622792406901,0.133999407953848,"Balanced, <0.2",1.00616521164614,"Balanced, <2","optimal"
"polity2_l12","Contin.",-0.0369038713503924,0.723460345558085,-0.0821767090334076,"Balanced, <0.2",0.837729793813814,"Balanced, <2","optimal"
"Polity5_durable_ln_l12","Contin.",-0.260531642449403,0.968722797399765,-0.173265148991168,"Balanced, <0.2",1.19882185112273,"Balanced, <2","optimal"
"BESS_plus_WB_Urbanization_l12","Contin.",-0.0132623579700834,0.719324545027193,-0.0647173358746506,"Balanced, <0.2",0.831058172160458,"Balanced, <2","optimal"
"VDEM_v2x_execorr_l12","Contin.",0.556339416234419,0.651556010116048,0.131680908517822,"Balanced, <0.2",0.972773067937754,"Balanced, <2","optimal"
"Mean_year_schooling_interpolated_l12","Contin.",0.134410058447946,0.808563884224238,-0.00578778306321434,"Balanced, <0.2",0.880821906040266,"Balanced, <2","optimal"
"cumsum.nvc.nonviol12","Contin.",0.546112136101125,2.46400252069003,0.103394787277406,"Balanced, <0.2",1.15080671356161,"Balanced, <2","optimal"
"year12","Contin.",0.528360452995222,0.839695955094175,-2.11457518162206e-11,"Balanced, <0.2",1.00192088787705,"Balanced, <2","optimal"
"region_112","Binary",-0.00301233244222959,NA,0,"Balanced, <0.2",NA,"","optimal"
"region_Australia and New Zealand12","Binary",-0.0141001107865848,NA,0,"Balanced, <0.2",NA,"","optimal"
"region_Central Asia12","Binary",-0.00249051731863158,NA,-1.17961196366423e-16,"Balanced, <0.2",NA,"","optimal"
"region_Eastern Asia12","Binary",0.0213785594254641,NA,-5.759281940243e-16,"Balanced, <0.2",NA,"","optimal"
"region_Eastern Europe12","Binary",0.0633029945685231,NA,-9.85322934354826e-16,"Balanced, <0.2",NA,"","optimal"
"region_Latin America and the Caribbean12","Binary",0.0489637846029645,NA,-2.47024622979097e-15,"Balanced, <0.2",NA,"","optimal"
"region_Melanesia12","Binary",-0.00177639191012091,NA,-1.56125112837913e-16,"Balanced, <0.2",NA,"","optimal"
