"","factor","gdppc.gap.ln_l","AME","SE","z","p","lower","upper","model"
"1","gdppc.gap.ln_l",5.99146454710798,0.117969102524721,0.0136430451025789,8.64683079457254,5.29493929477894e-18,0.091229225484211,0.144708979565231,"nearest"
"2","gdppc.gap.ln_l",6.19146454710798,0.12928591602772,0.0142037971727585,9.10220798390993,8.85137337396684e-20,0.101446985125403,0.15712484693004,"nearest"
"3","gdppc.gap.ln_l",6.39146454710798,0.137526266166835,0.0198387844804795,6.93219215633677,4.14368567461091e-12,0.0986429630880424,0.176409569245626,"nearest"
"4","gdppc.gap.ln_l",6.59146454710798,0.141995363679289,0.0267914629547099,5.30002276916821,1.15788239873898e-07,0.0894850611949182,0.194505666163659,"nearest"
"5","gdppc.gap.ln_l",6.79146454710798,0.142317371898643,0.0328059993723933,4.33815078404243,1.43686567135973e-05,0.0780187946519077,0.206615949145377,"nearest"
"6","gdppc.gap.ln_l",6.99146454710798,0.13845780993381,0.0368961224119199,3.75263851274189,0.000174983090919135,0.066142738837267,0.210772881030355,"nearest"
"7","gdppc.gap.ln_l",7.19146454710798,0.130683170794385,0.0387356947446581,3.3737143907147,0.000741612709171254,0.054762604178717,0.206603737410052,"nearest"
"8","gdppc.gap.ln_l",7.39146454710798,0.119476736845003,0.0384107968070572,3.11049878619158,0.00186771663344853,0.0441929584856836,0.19476051520432,"nearest"
"9","gdppc.gap.ln_l",7.59146454710798,0.105437848602772,0.036281102027522,2.90613687871967,0.00365921339655444,0.0343281953094082,0.176547501896141,"nearest"
"10","gdppc.gap.ln_l",7.79146454710798,0.0891895225436417,0.0328452724721369,2.71544474533748,0.00661868200191832,0.0248139714358486,0.153565073651435,"nearest"
"11","gdppc.gap.ln_l",7.99146454710798,0.0713103125022018,0.0286897665545001,2.48556614661671,0.0129345546928604,0.0150794033305188,0.127541221673883,"nearest"
"12","gdppc.gap.ln_l",8.19146454710798,0.0522960472978617,0.0244649994600534,2.1375862845716,0.0325503358841326,0.00434552947436465,0.100246565121358,"nearest"
"13","gdppc.gap.ln_l",8.39146454710798,0.0325493295173163,0.0209569022158115,1.55315557529102,0.120385971628518,-0.00852544405320203,0.0736241030878342,"nearest"
"14","gdppc.gap.ln_l",8.59146454710798,0.0123906701668258,0.0191019797314896,0.648658952684356,0.516558841436988,-0.0250485221403079,0.0498298624739594,"nearest"
"15","gdppc.gap.ln_l",8.79146454710798,-0.00791580463939796,0.0195965450027111,-0.403938788102843,0.686257732322274,-0.0463243270661302,0.0304927177873341,"nearest"
"16","gdppc.gap.ln_l",8.99146454710798,-0.0281284217092685,0.0222680035607807,-1.26317663065266,0.206525709329473,-0.0717729066960086,0.0155160632774711,"nearest"
"17","gdppc.gap.ln_l",9.19146454710798,-0.0479911024734498,0.0262795324604226,-1.82617794078815,0.0678234629906844,-0.0994980396264289,0.00351583467953002,"nearest"
"18","gdppc.gap.ln_l",9.39146454710798,-0.0671983604146788,0.0307710561523928,-2.18381715862728,0.0289756862318395,-0.127508522239628,-0.0068881985897294,"nearest"
"19","gdppc.gap.ln_l",9.59146454710798,-0.0853672739060756,0.0350497634434507,-2.43560199896377,0.0148670324365447,-0.154063547921886,-0.0166709998902624,"nearest"
"20","gdppc.gap.ln_l",9.79146454710798,-0.102022540093034,0.0385161784272185,-2.64882302084614,0.00807726177907957,-0.1775128626325,-0.0265322175535658,"nearest"
"21","gdppc.gap.ln_l",9.99146454710798,-0.11660160610611,0.0406125748369364,-2.87107149877292,0.00409082985431473,-0.196200790105944,-0.0370024221062778,"nearest"
"22","gdppc.gap.ln_l",10.191464547108,-0.128486428638981,0.0408333118546272,-3.14660807079309,0.00165176207174513,-0.208518249243542,-0.0484546080344182,"nearest"
"23","gdppc.gap.ln_l",10.391464547108,-0.137065180779405,0.0388072066475947,-3.53195173319439,0.000412504640492377,-0.213125908149292,-0.061004453409514,"nearest"
"24","gdppc.gap.ln_l",10.591464547108,-0.141820279680804,0.0344184469636966,-4.12047294958983,3.78095458588242e-05,-0.209279196133451,-0.0743613632281562,"nearest"
"25","gdppc.gap.ln_l",10.791464547108,-0.142429165864863,0.0279651807277219,-5.09308941185112,3.52275460696977e-07,-0.197239912912353,-0.0876184188173764,"nearest"
"26","gdppc.gap.ln_l",10.991464547108,-0.138854545839282,0.0204199571952316,-6.79994304159004,1.04660521652911e-11,-0.178876926507784,-0.0988321651707771,"nearest"
"27","gdppc.gap.ln_l",11.191464547108,-0.131396533106676,0.0141673783315477,-9.27458348550513,1.78314358352672e-20,-0.159164084391863,-0.10362898182149,"nearest"
"28","gdppc.gap.ln_l",11.391464547108,-0.120684915486366,0.0136498673629723,-8.84147166248262,9.44659670519259e-19,-0.14743816391154,-0.0939316670611906,"nearest"
"29","gdppc.gap.ln_l",11.591464547108,-0.107606009381376,0.0185647047329217,-5.79626829133204,6.78067586688108e-09,-0.143992162041522,-0.0712198567212286,"nearest"
"30","gdppc.gap.ln_l",11.791464547108,-0.0931794730739289,0.0241522250808731,-3.85800781343831,0.000114314994448735,-0.140516964378946,-0.0458419817689137,"nearest"
