"","Type","Diff.Un","V.Ratio.Un","Diff.Adj","M.Threshold","V.Ratio.Adj","V.Threshold","model"
"growth.gap.5_l","Contin.",0.163959682945181,0.55017309925456,-0.0548986895718897,"Balanced, <0.2",0.809447217511597,"Balanced, <2","nearest"
"pop_ln_l","Contin.",0.483389109742447,0.836899359894137,0.0348002304426542,"Balanced, <0.2",0.968216315633217,"Balanced, <2","nearest"
"polity2_l","Contin.",0.115775575558717,0.705197508960579,-0.0818465420014856,"Balanced, <0.2",0.866567295612193,"Balanced, <2","nearest"
"Polity5_durable_ln_l","Contin.",-0.245708248316107,1.03741980264558,-0.217567633377036,"Not Balanced, >0.2",1.27042026246839,"Balanced, <2","nearest"
"BESS_plus_WB_Urbanization_l","Contin.",0.0996889250093067,0.718138932143695,-0.104159351884009,"Balanced, <0.2",0.884722462912652,"Balanced, <2","nearest"
"VDEM_v2x_execorr_l","Contin.",0.742045321028976,0.549103049525389,0.33426631214954,"Not Balanced, >0.2",0.751757135986335,"Balanced, <2","nearest"
"Mean_year_schooling_interpolated_l","Contin.",0.291186545472399,0.739211870344402,-0.0804547227679002,"Balanced, <0.2",0.86555192058521,"Balanced, <2","nearest"
"cumsum.unarmed.rev.q","Contin.",0.522495516932988,3.76582505951829,0.22348712741147,"Not Balanced, >0.2",1.50996421313888,"Balanced, <2","nearest"
"year","Contin.",1.23301231312469,0.477923822597898,2.27373675443232e-13,"Balanced, <0.2",1.00559307105108,"Balanced, <2","nearest"
"region_1","Binary",-0.00696378830083565,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_Australia and New Zealand","Binary",-0.0139275766016713,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_Central Asia","Binary",0.00104115090081196,NA,-1.38777878078145e-17,"Balanced, <0.2",NA,"","nearest"
"region_Eastern Asia","Binary",0.0116789640434625,NA,-2.77555756156289e-17,"Balanced, <0.2",NA,"","nearest"
"region_Eastern Europe","Binary",0.0436523968493604,NA,-2.77555756156289e-17,"Balanced, <0.2",NA,"","nearest"
"region_Latin America and the Caribbean","Binary",-0.0243079498060467,NA,-2.77555756156289e-17,"Balanced, <0.2",NA,"","nearest"
"region_Melanesia","Binary",-0.017707918822125,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_Micronesia","Binary",-0.00338241146040589,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_Northern Africa","Binary",0.0394277998681665,NA,-4.16333634234434e-17,"Balanced, <0.2",NA,"","nearest"
"region_Northern America","Binary",-0.0139275766016713,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_Northern Europe","Binary",-0.0496684416606167,NA,-6.07153216591882e-18,"Balanced, <0.2",NA,"","nearest"
"region_Polynesia","Binary",-0.0057699960206924,NA,0,"Balanced, <0.2",NA,"","nearest"
"region_South-eastern Asia","Binary",0.0207713781466147,NA,-2.77555756156289e-17,"Balanced, <0.2",NA,"","nearest"
"region_Southern Asia","Binary",0.0663276154834555,NA,-5.55111512312578e-17,"Balanced, <0.2",NA,"","nearest"
"region_Southern Europe","Binary",0.00714908430360598,NA,-2.08166817117217e-17,"Balanced, <0.2",NA,"","nearest"
"region_Sub-Saharan Africa","Binary",-0.0833277643277856,NA,-5.55111512312578e-17,"Balanced, <0.2",NA,"","nearest"
