"","var","coef","se","model"
"(Intercept)","(Intercept)",-15.755405938284,6.72361245931148,"nearest"
"gdppc.gap.ln_l","gdppc.gap.ln_l",3.46149005366746,1.5490177286916,"nearest"
"I(gdppc.gap.ln_l^2)","I(gdppc.gap.ln_l^2)",-0.20449612540594,0.0885184041276461,"nearest"
"(Intercept)1","(Intercept)",-15.7497757285139,6.66895454604225,"optimal"
"gdppc.gap.ln_l1","gdppc.gap.ln_l",3.45747634672231,1.537034252855,"optimal"
"I(gdppc.gap.ln_l^2)1","I(gdppc.gap.ln_l^2)",-0.204119951849038,0.0878724605612385,"optimal"
"(Intercept)2","(Intercept)",-15.7059582126291,6.78788436251583,"nearest"
"gdppc.gap.ln_l2","gdppc.gap.ln_l",3.43409123272718,1.56308336148376,"nearest"
"I(gdppc.gap.ln_l^2)2","I(gdppc.gap.ln_l^2)",-0.202072943969606,0.0892748442821375,"nearest"
"(Intercept)11","(Intercept)",-15.8883144470115,6.84196990303512,"optimal"
"gdppc.gap.ln_l11","gdppc.gap.ln_l",3.47832457066253,1.57575529587174,"optimal"
"I(gdppc.gap.ln_l^2)11","I(gdppc.gap.ln_l^2)",-0.204708163131654,0.0900043903555512,"optimal"
"(Intercept)3","(Intercept)",-15.9409122170905,6.48822175532622,"nearest"
"gdppc.gap.ln_l3","gdppc.gap.ln_l",3.50608257898663,1.49410516889584,"nearest"
"I(gdppc.gap.ln_l^2)3","I(gdppc.gap.ln_l^2)",-0.20711055711959,0.0853643397459787,"nearest"
"(Intercept)12","(Intercept)",-15.7516149675664,6.49200932038166,"optimal"
"gdppc.gap.ln_l12","gdppc.gap.ln_l",3.46914192994063,1.49460574538285,"optimal"
"I(gdppc.gap.ln_l^2)12","I(gdppc.gap.ln_l^2)",-0.205376189484578,0.0853726771541526,"optimal"
"(Intercept)4","(Intercept)",-17.2279529916141,6.5956297355506,"nearest"
"gdppc.gap.ln_l4","gdppc.gap.ln_l",3.8052543818426,1.51804306252036,"nearest"
"I(gdppc.gap.ln_l^2)4","I(gdppc.gap.ln_l^2)",-0.224227181375852,0.086671110949885,"nearest"
"(Intercept)13","(Intercept)",-17.1648366810193,6.58959490372436,"optimal"
"gdppc.gap.ln_l13","gdppc.gap.ln_l",3.79186970497467,1.51703767389708,"optimal"
"I(gdppc.gap.ln_l^2)13","I(gdppc.gap.ln_l^2)",-0.22353137944334,0.0866362711858673,"optimal"
"(Intercept)5","(Intercept)",-17.0834298470138,6.69145292651962,"nearest"
"gdppc.gap.ln_l5","gdppc.gap.ln_l",3.76675430899863,1.54059894638708,"nearest"
"I(gdppc.gap.ln_l^2)5","I(gdppc.gap.ln_l^2)",-0.221770114437793,0.0879784145741757,"nearest"
"(Intercept)14","(Intercept)",-16.9594585332596,6.67314580360622,"optimal"
"gdppc.gap.ln_l14","gdppc.gap.ln_l",3.73966554788776,1.53681971406924,"optimal"
"I(gdppc.gap.ln_l^2)14","I(gdppc.gap.ln_l^2)",-0.220313554001465,0.0877893233396099,"optimal"
"(Intercept)6","(Intercept)",-16.2711117843758,6.78540719354951,"nearest"
"gdppc.gap.ln_l6","gdppc.gap.ln_l",3.57814968106862,1.56818608097382,"nearest"
"I(gdppc.gap.ln_l^2)6","I(gdppc.gap.ln_l^2)",-0.211013995126415,0.0898814537938213,"nearest"
"(Intercept)15","(Intercept)",-16.2343788904365,6.76813219299604,"optimal"
"gdppc.gap.ln_l15","gdppc.gap.ln_l",3.57237162750153,1.56305312681511,"optimal"
"I(gdppc.gap.ln_l^2)15","I(gdppc.gap.ln_l^2)",-0.210829040165528,0.089525181845201,"optimal"
"(Intercept)7","(Intercept)",-15.7098893510578,6.68348456895831,"nearest"
"gdppc.gap.ln_l7","gdppc.gap.ln_l",3.44436486013201,1.54440352763883,"nearest"
"I(gdppc.gap.ln_l^2)7","I(gdppc.gap.ln_l^2)",-0.203172778408227,0.088517660126964,"nearest"
"(Intercept)16","(Intercept)",-15.3204697436884,6.6668720168093,"optimal"
"gdppc.gap.ln_l16","gdppc.gap.ln_l",3.35155388829606,1.54124233395718,"optimal"
"I(gdppc.gap.ln_l^2)16","I(gdppc.gap.ln_l^2)",-0.197737823118673,0.0883778567307492,"optimal"
"(Intercept)8","(Intercept)",-16.7478166019208,6.71598078349562,"nearest"
"gdppc.gap.ln_l8","gdppc.gap.ln_l",3.69990068086963,1.54643610868817,"nearest"
"I(gdppc.gap.ln_l^2)8","I(gdppc.gap.ln_l^2)",-0.218547971910304,0.0883224517613625,"nearest"
"(Intercept)17","(Intercept)",-15.922137723658,6.71601734262328,"optimal"
"gdppc.gap.ln_l17","gdppc.gap.ln_l",3.51608362966229,1.54680906788595,"optimal"
"I(gdppc.gap.ln_l^2)17","I(gdppc.gap.ln_l^2)",-0.208469533718175,0.0883674118356028,"optimal"
"(Intercept)9","(Intercept)",-14.8819449067795,6.72987257219745,"nearest"
"gdppc.gap.ln_l9","gdppc.gap.ln_l",3.25257106249759,1.54931546416162,"nearest"
"I(gdppc.gap.ln_l^2)9","I(gdppc.gap.ln_l^2)",-0.192220862795931,0.0884744236028152,"nearest"
"(Intercept)18","(Intercept)",-14.8638927490129,6.72793917699244,"optimal"
"gdppc.gap.ln_l18","gdppc.gap.ln_l",3.24725077307233,1.54837581531645,"optimal"
"I(gdppc.gap.ln_l^2)18","I(gdppc.gap.ln_l^2)",-0.191855296772278,0.0883929422776057,"optimal"
"(Intercept)10","(Intercept)",-16.5238757612128,6.89028243981806,"nearest"
"gdppc.gap.ln_l10","gdppc.gap.ln_l",3.63423487513411,1.58106649050341,"nearest"
"I(gdppc.gap.ln_l^2)10","I(gdppc.gap.ln_l^2)",-0.214056324884576,0.0899750264077949,"nearest"
"(Intercept)19","(Intercept)",-16.1811484428956,6.86426483256573,"optimal"
"gdppc.gap.ln_l19","gdppc.gap.ln_l",3.55808475239596,1.57542851624277,"optimal"
"I(gdppc.gap.ln_l^2)19","I(gdppc.gap.ln_l^2)",-0.209888915386195,0.08967634021779,"optimal"
"(Intercept)20","(Intercept)",-16.5901507572314,6.65198885753685,"nearest"
