"","factor","gdppc.gap.ln_l","AME","SE","z","p","lower","upper","model"
"1","gdppc.gap.ln_l",5.99146454710798,0.0799021864565264,0.0125495316335428,6.36694569883081,1.92829402754095e-10,0.0553055564319372,0.104498816481117,"nearest"
"2","gdppc.gap.ln_l",6.19146454710798,0.0859486374345757,0.0137564535433882,6.24787756259211,4.16067613400318e-10,0.058986483934537,0.112910790934615,"nearest"
"3","gdppc.gap.ln_l",6.39146454710798,0.0899778603307282,0.0188867874186691,4.76406380482618,1.89732466604116e-06,0.0529604372064716,0.126995283454983,"nearest"
"4","gdppc.gap.ln_l",6.59146454710798,0.0916087155569763,0.0250930972984563,3.65075361034096,0.00026147198274021,0.0424271485914442,0.140790282522511,"nearest"
"5","gdppc.gap.ln_l",6.79146454710798,0.0906131359325444,0.0306803740952243,2.95345603190181,0.00314237369083465,0.030480707673688,0.150745564191399,"nearest"
"6","gdppc.gap.ln_l",6.99146454710798,0.0869294030064026,0.0348249380033231,2.49618256314218,0.0125537973133439,0.0186737787560481,0.155185027256755,"nearest"
"7","gdppc.gap.ln_l",7.19146454710798,0.080651944446133,0.0371568945565396,2.17057817690898,0.0299630732083903,0.0078257693379621,0.153478119554302,"nearest"
"8","gdppc.gap.ln_l",7.39146454710798,0.0720033486964364,0.0376061982016457,1.91466705329669,0.0555349778334054,-0.00170344537426453,0.145710142767137,"nearest"
"9","gdppc.gap.ln_l",7.59146454710798,0.0612973537994968,0.0363243298021286,1.68750130101243,0.0915069999693422,-0.00989702437523081,0.132491731974223,"nearest"
"10","gdppc.gap.ln_l",7.79146454710798,0.0489016891818359,0.0336274703774775,1.45421848961284,0.145885740399712,-0.0170069416492075,0.114810320012879,"nearest"
"11","gdppc.gap.ln_l",7.99146454710798,0.0352075215210675,0.0299470201780497,1.17566025974342,0.239730664998935,-0.0234875594722045,0.0939026025143391,"nearest"
"12","gdppc.gap.ln_l",8.19146454710798,0.0206091041887264,0.0258432575171368,0.797465419174048,0.425180778715021,-0.0300427497880562,0.0712609581655083,"nearest"
"13","gdppc.gap.ln_l",8.39146454710798,0.00549416001244687,0.0220564940777847,0.249094892101668,0.803287380469237,-0.0377357740052321,0.048724094030126,"nearest"
"14","gdppc.gap.ln_l",8.59146454710798,-0.00975682838178486,0.0195150162663984,-0.499965167776186,0.617099604102065,-0.0480055574216389,0.0284919006580693,"nearest"
