"","iso3c","year","region","NVC_1.3_NONVIOL","NVC_1.3_VIOL","unarmed.rev.q","armed.rev.q","sum.nvc.nonviol","sum.rev.q.nonviol","sum.nvc.viol","sum.rev.q.viol","sum.nvc.nonviol_l","sum.rev.q.nonviol_l","sum.nvc.viol_l","sum.rev.q.viol_l","cumsum.nvc.nonviol","cumsum.unarmed.rev.q","cumsum.nvc.viol","cumsum.armed.rev.q","polity2_l","gdppc.gap.ln_l","BESS_plus_WB_Urbanization_l","WPP_15_24_share_15plus_l","Mean_year_schooling_interpolated_l","Polity5_durable_ln_l","VDEM_v2x_execorr_l","pop_ln_l","v2xeg_eqdr_l","oil.pc.ln_l","discrimpop_l","polity2_l.sq","growth.gap.5_l"
"1","AFG",2019,"Southern Asia","0",0,0,0,"1","1","0","0","0","1","0","0",1,0,7,6,-1,7.6177595766085,25.495,0.393193074374035,2.554690003,1.6094379124341,0.827,10.510171860196,0.336,5.48924398042151,0,1,-0.00790464327393696
"2","AFG",2018,"Southern Asia","0",0,0,0,"0","1","0","0","1","0","0","0",1,0,7,6,-1,7.629489916394,25.25,0.394943287106204,2.411230008,1.38629436111989,0.797,10.4813197664377,0.316,-1.89618495337213,0,1,-0.0016453032541607
"3","AFG",2017,"Southern Asia","0",0,0,0,"1","0","0","0","1","1","0","0",1,0,7,6,-1,7.62900388965296,25.02,0.396017222740373,2.267770012,1.09861228866811,0.797,10.4526548734263,0.306,-2.30258509299405,0,1,0.0153533204184312
"4","AFG",2016,"Southern Asia","0",0,0,0,"1","1","0","0","1","0","1","1",1,0,7,6,-1,7.63433723562832,24.803,0.39632468842947,2.124310017,0.693147180559945,0.775,10.426839365001,0.352,-2.30258509299405,0,1,0.0110338536464488
"5","AFG",2015,"Southern Asia","0",1,0,1,"1","0","1","1","1","0","0","0",1,0,6,5,-1,7.6506445514369,24.587,0.396385982084137,2.077493267,0,0.852,10.3956259527119,0.353,-2.30258509299405,0,1,0.0356287613398678
"6","AFG",2014,"Southern Asia","0",0,0,0,"1","0","0","0","0","0","0","1",1,0,6,5,-4,7.65728279297819,24.373,0.395973421279452,2.030676517,0,0.852,10.3590501762066,0.348,-2.30258509299405,0,0,0.0709572738501729
"7","AFG",2013,"Southern Asia","0",0,0,0,"0","0","0","1","1","0","0","1",1,0,6,5,-1,7.6377164326648,24.16,0.394517481817111,1.983859768,0,0.887,10.3243822926063,0.354,-2.30258509299405,0,6,0.0701680041828197
"8","AFG",2012,"Southern Asia","0",0,0,0,"1","0","0","1","0","1","0","0",1,0,6,5,1,7.5522372875608,23.948,0.392418444898288,1.937043018,0,0.887,10.2836060317319,0.354,-2.30258509299405,0,20,0.0739770351351078
"9","AFG",2011,"Southern Asia","0",0,0,0,"0","1","0","0","1","0","0","0",1,0,6,5,-9,7.57916796739608,23.737,0.388954773260134,1.890226268,0,0.887,10.2467109487088,0.354,-2.30258509299405,0,16,0.0838197519599898
"10","AFG",2010,"Southern Asia","0",0,0,0,"1","0","0","0","1","1","0","0",1,0,6,5,-3,7.47250074473756,23.528,0.384406818397726,1.816489888,0,0.887,10.2177619259297,0.343,-2.30258509299405,0,33,0.0764847817922933
"11","AFG",2009,"Southern Asia","0",0,0,0,"1","1","0","0","0","1","0","0",1,0,6,5,-3,7.30249642372733,23.32,0.380048603943033,1.742753507,0,0.887,10.182149023927,0.343,-2.30258509299405,0,18,0.036572157141938
"12","AFG",2008,"Southern Asia","0",0,0,0,"0","1","0","0","1","1","1","1",1,0,6,5,3,7.2868764117507,23.113,0.37565513331206,1.669017126,0,0.887,10.1621256720012,0.343,-2.30258509299405,0,15,0.041033565129025
"13","AFG",2007,"Southern Asia","0",0,0,0,"1","1","1","1","1","1","0","0",1,0,6,5,6,7.18235211188526,22.907,0.372727286099143,1.595280745,0,0.884,10.1441937340291,0.341,-2.30258509299405,0,13,0.169814496749114
"14","AFG",2006,"Southern Asia","0",0,0,0,"1","1","0","0","0","0","1","1",1,0,6,5,8,7.16006920759613,22.703,0.371442862414865,1.521544365,0,0.884,10.1027969331932,0.324,-2.30258509299405,0,11,0.16009906778475
"15","AFG",2005,"Southern Asia","0",0,0,0,"0","0","1","1","1","1","1","1",1,0,6,5,7,7.09007683577609,22.5,0.370317313357533,1.47004594,0,0.884,10.067031852412,0.316,-2.30258509299405,0,22,0.139631944476698
"16","AFG",2004,"Southern Asia","0",0,0,0,"1","1","1","1","1","1","0","0",1,0,6,5,-3,7.11963563801764,22.353,0.36937318483962,1.418547515,0,0.863,10.0277000967555,0.317,-2.30258509299405,0,46,0.135737819476943
"17","AFG",2003,"Southern Asia","0",0,0,0,"1","1","0","0","1","1","0","0",1,0,6,5,-1,7.08170858610557,22.261,0.368877644985221,1.367049091,0,0.863,9.95228993091668,0.318,-2.30258509299405,0,14,0.119109559432297
"18","AFG",2002,"Southern Asia","0",0,0,0,"1","1","0","0","1","0","1","0",1,0,6,5,-9,6.33327962813969,22.169,0.3687765488781,1.315550666,0,0.775,9.88779671772308,0.046,-2.30258509299405,0.46899998,54,-0.0406823938903228
"19","AFG",2001,"Southern Asia","0",1,0,1,"1","0","1","0","0","0","0","0",1,0,5,4,-7,6.35957386867238,22.078,0.369143520534975,1.264052241,1.6094379124341,0.775,9.88037154956839,0.032,-2.30258509299405,0.46899998,49,-0.0461454359048616
"20","AFG",2000,"Southern Asia","0",0,0,0,"0","0","0","0","1","0","0","0",1,0,5,4,-7,6.3919171133926,21.986,0.370024694709532,1.228939679,1.38629436111989,0.775,9.86593351969926,0.032,-2.30258509299405,0.46899998,49,0.0382815878699825
"21","AFG",1999,"Southern Asia","0",0,0,0,"1","0","0","0","0","0","0","0",1,0,5,4,-7,6.44094654063292,21.895,0.371123113839243,1.193827117,1.09861228866811,0.775,9.82515469889534,0.032,-2.30258509299405,0.46899998,49,-0.0117681000045867
"22","AFG",1998,"Southern Asia","0",0,0,0,"0","0","0","0","0","0","0","0",1,0,5,4,-7,6.48616078894409,21.805,0.372135901129706,1.158714555,0.693147180559945,0.775,9.78632539284636,0.032,-2.30258509299405,0.46899998,49,-0.0784331358694473
"23","AFG",1997,"Southern Asia","0",0,0,0,"0","0","0","0","0","0","0","1",1,0,5,4,-7,6.5366915975913,21.714,0.372976099260698,1.123601992,0,0.905,9.74721936988134,0.034,-2.30258509299405,0,49,-0.0767959813314757
"24","AFG",1996,"Southern Asia","0",0,0,0,"0","0","0","1","0","0","0","0",1,0,5,4,-7,6.59030104819669,21.624,0.373496968971386,1.08848943,0,0.905,9.70618912015335,0.05,-2.30258509299405,0,32,-0.0840021638221087
"25","AFG",1995,"Southern Asia","0",0,0,0,"0","0","0","0","1","0","1","0",1,0,5,4,-3,6.20050917404269,21.534,0.3736565024544,1.045183937,0,0.905,9.64572373227912,0.05,-2.30258509299405,0,22,-0.169227620761213
"26","AFG",1994,"Southern Asia","0",0,0,1,"1","0","1","0","0","0","0","0",1,0,5,3,-4,6.49978704065585,21.444,0.373550981832504,1.001878443,0,0.905,9.54708114396712,0.05,-2.30258509299405,0,42,-0.128766112409653
"27","AFG",1993,"Southern Asia","0",0,0,0,"0","0","0","0","0","0","0","0",1,0,5,3,-8,6.87832646829133,21.355,0.373135347282777,0.95857295,0,0.721,9.39743659522024,0.065,-2.30258509299405,0,61,-0.0721777010976961
"28","AFG",1992,"Southern Asia","0",1,0,0,"0","0","0","0","0","0","0","0",1,0,4,3,-8,6.92067150424868,21.266,0.372220193397867,0.915267456,1.09861228866811,0.498,9.28221135106844,0.145,-2.30258509299405,0,64,-0.0845509449797367
"29","AFG",1991,"Southern Asia","0",0,0,0,"0","0","0","0","1","1","1","1",1,0,4,3,-8,7.01031186730723,21.177,0.3707620237524,0.871961963,0.693147180559945,0.498,9.27751254700079,0.145,-2.30258509299405,0,64,-0.0605817039566144
"30","AFG",1990,"Southern Asia","0",0,0,0,"1","1","1","1","0","0","1","0",1,0,4,3,-8,7.04664727784876,21.088,0.368956148381067,0.856913006240644,0,0.498,9.27548825429052,0.201,-2.30258509299405,0,64,-0.0583181744433666
"31","AFG",1989,"Southern Asia","0",0,0,0,"0","0","1","0","0","0","0","0",1,0,4,3,-3,7.14361760270412,20.998,0.366879464155783,0.833963314915787,0,0.498,9.24796938635649,0.201,-2.30258509299405,0,55,-0.0403494475425495
"32","AFG",1988,"Southern Asia","0",0,0,0,"0","0","0","0","1","0","1","1",1,0,4,3,-8,7.23921497377981,20.314,0.364363533614252,0.811555575364006,0,0.498,9.24210625139317,0.201,-2.30258509299405,0,30,-0.00953228759417879
"33","AFG",1987,"Southern Asia","0",0,0,0,"1","0","1","1","1","0","1","0",1,0,4,3,8,7.34342622914737,19.647,0.361508109290998,0.789530950245914,0,0.498,9.25420810751469,0.201,-2.30258509299405,0,42,0.0322148234524208
"34","AFG",1986,"Southern Asia","0",0,0,0,"1","0","1","0","0","0","1","0",1,0,4,3,5,7.3132203870903,18.997,0.35830632818847,0.767899578115088,0,0.498,9.26029381165917,0.201,-2.30258509299405,0,21,0.0493506833906688
"35","AFG",1985,"Southern Asia","0",0,0,0,"0","0","1","0","0","0","1","0",1,0,4,3,-1,7.33823815006559,18.365,0.354932386436272,0.746377272242449,0,0.498,9.23441684357116,0.201,-2.30258509299405,0,66,0.0543542359857263
"36","AFG",1984,"Southern Asia","0",0,0,0,"0","0","1","0","1","0","1","0",1,0,4,3,2,7.34536484041687,17.747,0.351786218134042,0.725001821782243,0,0.498,9.20547344769059,0.201,-2.30258509299405,0,43,0.0549281466313184
"37","AFG",1983,"Southern Asia","0",0,0,0,"1","0","1","0","0","0","0","0",1,0,4,3,1,7.2868764117507,17.147,0.348840184828424,0.70371577493086,0,0.498,9.21913047557049,0.201,-2.30258509299405,0,4,0.0342588571132492
"38","AFG",1982,"Southern Asia","0",0,0,0,"0","0","0","0","0","0","1","1",1,0,4,3,-1,7.18235211188526,16.562,0.345761131928968,0.682550161806828,0,0.498,9.31966058766409,0.201,-2.30258509299405,0,64,0.0226657370614006
"39","AFG",1981,"Southern Asia","0",0,0,0,"0","0","1","1","0","0","1","0",1,0,4,3,2,7.06646697013696,15.995,0.342945601508293,0.661356590853233,0,0.498,9.43241387098858,0.201,-2.30258509299405,0,6,-0.0162184602104993
"40","AFG",1980,"Southern Asia","1",0,0,0,"0","0","1","0","1","0","0","0",0,0,3,3,-4,7.06646697013696,15.995,0.342945601508293,0.661356590853233,0,0.498,9.43241387098858,0.201,-2.30258509299405,0,1,-0.0104718557850241
"41","AFG",1980,"Southern Asia","0",1,0,0,"1","0","0","0","0","0","1","0",1,0,3,3,-2,7.07072410726028,15.442,0.340249908640231,0.640267170495483,0,0.498,9.47165554788111,0.201,-2.6884872811917,0,32,-0.00303547142106684
"42","AFG",1979,"Southern Asia","0",0,0,1,"0","0","1","0","0","0","0","1",0,0,3,2,-6,7.11558212618445,14.973,0.337700205394205,0.619453334457717,0,0.55,9.46799065847226,0.232,-3.13039356676931,0.117,42,0.0113647947331579
"43","AFG",1978,"Southern Asia","0",1,0,1,"0","0","0","1","1","0","0","0",0,0,2,1,-7,7.06902342657826,14.517,0.335288973369769,0.59892368514903,2.63905732961526,0.431,9.44835689034156,0.269,3.47600999232582,0.117,49,0.00291475368906386
"44","AFG",1977,"Southern Asia","0",0,0,0,"1","0","0","0","0","0","1","0",0,0,2,1,-7,7.14755927118945,14.074,0.332904317574,0.578368843070846,2.56494935746154,0.431,9.42748737990813,0.269,6.42017016761321,0.117,49,-0.0225926653800796
"45","AFG",1976,"Southern Asia","0",0,0,0,"0","0","1","0","1","0","0","0",0,0,2,1,-7,7.11882624906208,13.641,0.330471189825619,0.557779591356276,2.484906649788,0.431,9.40569216530615,0.269,4.42026431688506,0.117,49,-0.0338836303916093
"46","AFG",1975,"Southern Asia","0",0,0,0,"1","0","0","0","0","0","0","0",0,0,2,1,-7,7.08590146436561,13.219,0.328752136694815,0.537230586627122,2.39789527279837,0.431,9.38175925166253,0.269,4.86745976223084,0.117,49,-0.0414232430814343
"47","AFG",1974,"Southern Asia","0",0,0,0,"0","0","0","0","0","0","1","0",0,0,2,1,-7,7.05875815251866,12.809,0.328137437626059,0.516915383088053,2.30258509299405,0.428,9.35662918530388,0.262,6.6798491944016,0.117,49,-0.0487476542417323
"48","AFG",1973,"Southern Asia","0",0,0,0,"0","0","1","0","0","0","0","0",0,0,2,1,-7,7.05444965813294,12.41,0.328300571983453,0.496697878338009,2.19722457733622,0.461,9.33138497183357,0.237,0.591496968985875,0.117,49,-0.0475775036081874
